0,1,2,3,4,5,6,7
USA,Female,IT,Any Job Seniority,51-200 employees,35 to 54,connected to big companies,47000
USA,Female,IT,Any Job Seniority,51-200 employees,35 to 54,connected to any,140000
USA,Female,IT,Any Job Seniority,51-200 employees,25 to 34,connected to big companies,44000
USA,Female,IT,Any Job Seniority,51-200 employees,25 to 34,connected to any,190000
USA,Female,IT,Any Job Seniority,51-200 employees,18 to 24,connected to big companies,8900
USA,Female,IT,Any Job Seniority,51-200 employees,18 to 24,connected to any,37000
USA,Female,IT,Any Job Seniority,11-50 employees,Any Age Range,connected to big companies,84000
USA,Female,IT,Any Job Seniority,11-50 employees,Any Age Range,connected to any,390000
USA,Female,IT,Any Job Seniority,11-50 employees,55+,connected to big companies,5700
USA,Female,IT,Any Job Seniority,11-50 employees,55+,connected to any,22000
USA,Female,IT,Any Job Seniority,11-50 employees,35 to 54,connected to big companies,37000
USA,Female,IT,Any Job Seniority,11-50 employees,35 to 54,connected to any,130000
USA,Female,IT,Any Job Seniority,11-50 employees,25 to 34,connected to big companies,32000
USA,Female,IT,Any Job Seniority,11-50 employees,25 to 34,connected to any,200000
USA,Female,IT,Any Job Seniority,11-50 employees,18 to 24,connected to big companies,9000
USA,Female,IT,Any Job Seniority,11-50 employees,18 to 24,connected to any,42000
USA,Female,IT,Any Job Seniority,2-10 employees,Any Age Range,connected to big companies,55000
USA,Female,IT,Any Job Seniority,2-10 employees,Any Age Range,connected to any,310000
USA,Female,IT,Any Job Seniority,2-10 employees,55+,connected to big companies,4900
USA,Female,IT,Any Job Seniority,2-10 employees,55+,connected to any,20000
USA,Female,IT,Any Job Seniority,2-10 employees,35 to 54,connected to big companies,26000
USA,Female,IT,Any Job Seniority,2-10 employees,35 to 54,connected to any,100000
USA,Female,IT,Any Job Seniority,2-10 employees,25 to 34,connected to big companies,18000
USA,Female,IT,Any Job Seniority,2-10 employees,25 to 34,connected to any,160000
USA,Female,IT,Any Job Seniority,2-10 employees,18 to 24,connected to big companies,6200
USA,Female,IT,Any Job Seniority,2-10 employees,18 to 24,connected to any,32000
USA,Female,IT,Any Job Seniority,Myself Only,Any Age Range,connected to big companies,8900
USA,Female,IT,Any Job Seniority,Myself Only,Any Age Range,connected to any,70000
USA,Female,IT,Any Job Seniority,Myself Only,55+,connected to big companies,760
USA,Female,IT,Any Job Seniority,Myself Only,55+,connected to any,3200
USA,Female,IT,Any Job Seniority,Myself Only,35 to 54,connected to big companies,4400
USA,Female,IT,Any Job Seniority,Myself Only,35 to 54,connected to any,14000
USA,Female,IT,Any Job Seniority,Myself Only,25 to 34,connected to big companies,3000
USA,Female,IT,Any Job Seniority,Myself Only,25 to 34,connected to any,45000
USA,Female,IT,Any Job Seniority,Myself Only,18 to 24,connected to big companies,830
USA,Female,IT,Any Job Seniority,Myself Only,18 to 24,connected to any,7900
USA,Female,IT,Owner,Any Company Size,Any Age Range,connected to big companies,38000
USA,Female,IT,Owner,Any Company Size,Any Age Range,connected to any,170000
USA,Female,IT,Owner,Any Company Size,55+,connected to big companies,4300
USA,Female,IT,Owner,Any Company Size,55+,connected to any,18000
USA,Female,IT,Owner,Any Company Size,35 to 54,connected to big companies,21000
USA,Female,IT,Owner,Any Company Size,35 to 54,connected to any,78000
USA,Female,IT,Owner,Any Company Size,25 to 34,connected to big companies,10000
USA,Female,IT,Owner,Any Company Size,25 to 34,connected to any,61000
USA,Female,IT,Owner,Any Company Size,18 to 24,connected to big companies,2600
USA,Female,IT,Owner,Any Company Size,18 to 24,connected to any,9500
USA,Female,IT,Owner,"10,001+ employees",Any Age Range,connected to big companies,6300
USA,Female,IT,Owner,"10,001+ employees",Any Age Range,connected to any,19000
USA,Female,IT,Owner,"10,001+ employees",55+,connected to big companies,620
USA,Female,IT,Owner,"10,001+ employees",55+,connected to any,1900
USA,Female,IT,Owner,"10,001+ employees",35 to 54,connected to big companies,3300
USA,Female,IT,Owner,"10,001+ employees",35 to 54,connected to any,9100
USA,Female,IT,Owner,"10,001+ employees",25 to 34,connected to big companies,1800
USA,Female,IT,Owner,"10,001+ employees",25 to 34,connected to any,5800
USA,Female,IT,Owner,"10,001+ employees",18 to 24,connected to big companies,590
USA,Female,IT,Owner,"10,001+ employees",18 to 24,connected to any,1900
USA,Female,IT,Owner,"5001-10,000 employees",Any Age Range,connected to big companies,1700
USA,Female,IT,Owner,"5001-10,000 employees",Any Age Range,connected to any,4600
USA,Female,IT,Owner,"5001-10,000 employees",55+,connected to big companies,0
USA,Female,IT,Owner,"5001-10,000 employees",55+,connected to any,520
USA,Female,IT,Owner,"5001-10,000 employees",35 to 54,connected to big companies,960
USA,Female,IT,Owner,"5001-10,000 employees",35 to 54,connected to any,2400
USA,Female,IT,Owner,"5001-10,000 employees",25 to 34,connected to big companies,450
USA,Female,IT,Owner,"5001-10,000 employees",25 to 34,connected to any,1300
USA,Female,IT,Owner,"5001-10,000 employees",18 to 24,connected to big companies,0
USA,Female,IT,Owner,"5001-10,000 employees",18 to 24,connected to any,360
USA,Female,IT,Owner,1001-5000 employees,Any Age Range,connected to big companies,4300
USA,Female,IT,Owner,1001-5000 employees,Any Age Range,connected to any,14000
USA,Female,IT,Owner,1001-5000 employees,55+,connected to big companies,420
USA,Female,IT,Owner,1001-5000 employees,55+,connected to any,1400
USA,Female,IT,Owner,1001-5000 employees,35 to 54,connected to big companies,2100
USA,Female,IT,Owner,1001-5000 employees,35 to 54,connected to any,6200
USA,Female,IT,Owner,1001-5000 employees,25 to 34,connected to big companies,1300
USA,Female,IT,Owner,1001-5000 employees,25 to 34,connected to any,4900
USA,Female,IT,Owner,1001-5000 employees,18 to 24,connected to big companies,400
USA,Female,IT,Owner,1001-5000 employees,18 to 24,connected to any,1200
USA,Female,IT,Owner,501-1000 employees,Any Age Range,connected to big companies,2300
USA,Female,IT,Owner,501-1000 employees,Any Age Range,connected to any,7300
USA,Female,IT,Owner,501-1000 employees,55+,connected to big companies,0
USA,Female,IT,Owner,501-1000 employees,55+,connected to any,870
USA,Female,IT,Owner,501-1000 employees,35 to 54,connected to big companies,1200
USA,Female,IT,Owner,501-1000 employees,35 to 54,connected to any,3600
USA,Female,IT,Owner,501-1000 employees,25 to 34,connected to big companies,650
USA,Female,IT,Owner,501-1000 employees,25 to 34,connected to any,2300
USA,Female,IT,Owner,501-1000 employees,18 to 24,connected to big companies,0
USA,Female,IT,Owner,501-1000 employees,18 to 24,connected to any,530
USA,Female,IT,Owner,201-500 employees,Any Age Range,connected to big companies,3400
USA,Female,IT,Owner,201-500 employees,Any Age Range,connected to any,9700
USA,Female,IT,Owner,201-500 employees,55+,connected to big companies,360
USA,Female,IT,Owner,201-500 employees,55+,connected to any,1100
USA,Female,IT,Owner,201-500 employees,35 to 54,connected to big companies,1800
USA,Female,IT,Owner,201-500 employees,35 to 54,connected to any,4900
USA,Female,IT,Owner,201-500 employees,25 to 34,connected to big companies,920
USA,Female,IT,Owner,201-500 employees,25 to 34,connected to any,2800
USA,Female,IT,Owner,201-500 employees,18 to 24,connected to big companies,0
USA,Female,IT,Owner,201-500 employees,18 to 24,connected to any,790
USA,Female,IT,Owner,51-200 employees,Any Age Range,connected to big companies,6500
USA,Female,IT,Owner,51-200 employees,Any Age Range,connected to any,17000
USA,Female,IT,Owner,51-200 employees,55+,connected to big companies,680
USA,Female,IT,Owner,51-200 employees,55+,connected to any,1900
USA,Female,IT,Owner,51-200 employees,35 to 54,connected to big companies,3600
USA,Female,IT,Owner,51-200 employees,35 to 54,connected to any,8900
USA,Female,IT,Owner,51-200 employees,25 to 34,connected to big companies,1600
USA,Female,IT,Owner,51-200 employees,25 to 34,connected to any,4900
USA,Female,IT,Owner,51-200 employees,18 to 24,connected to big companies,580
USA,Female,IT,Owner,51-200 employees,18 to 24,connected to any,1200
USA,Female,IT,Owner,11-50 employees,Any Age Range,connected to big companies,11000
USA,Female,IT,Owner,11-50 employees,Any Age Range,connected to any,31000
USA,Female,IT,Owner,11-50 employees,55+,connected to big companies,1200
USA,Female,IT,Owner,11-50 employees,55+,connected to any,3700
USA,Female,IT,Owner,11-50 employees,35 to 54,connected to big companies,6000
USA,Female,IT,Owner,11-50 employees,35 to 54,connected to any,16000
USA,Female,IT,Owner,11-50 employees,25 to 34,connected to big companies,2600
USA,Female,IT,Owner,11-50 employees,25 to 34,connected to any,9500
USA,Female,IT,Owner,11-50 employees,18 to 24,connected to big companies,810
USA,Female,IT,Owner,11-50 employees,18 to 24,connected to any,1800
USA,Female,IT,Owner,2-10 employees,Any Age Range,connected to big companies,16000
USA,Female,IT,Owner,2-10 employees,Any Age Range,connected to any,49000
USA,Female,IT,Owner,2-10 employees,55+,connected to big companies,1700
USA,Female,IT,Owner,2-10 employees,55+,connected to any,5900
USA,Female,IT,Owner,2-10 employees,35 to 54,connected to big companies,9000
USA,Female,IT,Owner,2-10 employees,35 to 54,connected to any,25000
USA,Female,IT,Owner,2-10 employees,25 to 34,connected to big companies,4600
USA,Female,IT,Owner,2-10 employees,25 to 34,connected to any,16000
USA,Female,IT,Owner,2-10 employees,18 to 24,connected to big companies,1200
USA,Female,IT,Owner,2-10 employees,18 to 24,connected to any,2600
USA,Female,IT,Owner,Myself Only,Any Age Range,connected to big companies,3300
USA,Female,IT,Owner,Myself Only,Any Age Range,connected to any,7300
USA,Female,IT,Owner,Myself Only,55+,connected to big companies,0
USA,Female,IT,Owner,Myself Only,55+,connected to any,720
USA,Female,IT,Owner,Myself Only,35 to 54,connected to big companies,1800
USA,Female,IT,Owner,Myself Only,35 to 54,connected to any,3500
USA,Female,IT,Owner,Myself Only,25 to 34,connected to big companies,1000
USA,Female,IT,Owner,Myself Only,25 to 34,connected to any,2500
USA,Female,IT,Owner,Myself Only,18 to 24,connected to big companies,0
USA,Female,IT,Owner,Myself Only,18 to 24,connected to any,550
USA,Female,IT,Partner,Any Company Size,Any Age Range,connected to big companies,14000
USA,Female,IT,Partner,Any Company Size,Any Age Range,connected to any,26000
USA,Female,IT,Partner,Any Company Size,55+,connected to big companies,2100
USA,Female,IT,Partner,Any Company Size,55+,connected to any,4100
USA,Female,IT,Partner,Any Company Size,35 to 54,connected to big companies,8400
USA,Female,IT,Partner,Any Company Size,35 to 54,connected to any,14000
USA,Female,IT,Partner,Any Company Size,25 to 34,connected to big companies,2600
USA,Female,IT,Partner,Any Company Size,25 to 34,connected to any,6100
USA,Female,IT,Partner,Any Company Size,18 to 24,connected to big companies,740
USA,Female,IT,Partner,Any Company Size,18 to 24,connected to any,1600
USA,Female,IT,Partner,"10,001+ employees",Any Age Range,connected to big companies,3500
USA,Female,IT,Partner,"10,001+ employees",Any Age Range,connected to any,5900
USA,Female,IT,Partner,"10,001+ employees",55+,connected to big companies,540
USA,Female,IT,Partner,"10,001+ employees",55+,connected to any,850
USA,Female,IT,Partner,"10,001+ employees",35 to 54,connected to big companies,2100
USA,Female,IT,Partner,"10,001+ employees",35 to 54,connected to any,3200
USA,Female,IT,Partner,"10,001+ employees",25 to 34,connected to big companies,600
USA,Female,IT,Partner,"10,001+ employees",25 to 34,connected to any,1400
USA,Female,IT,Partner,"10,001+ employees",18 to 24,connected to big companies,0
USA,Female,IT,Partner,"10,001+ employees",18 to 24,connected to any,470
USA,Female,IT,Partner,"5001-10,000 employees",Any Age Range,connected to big companies,980
USA,Female,IT,Partner,"5001-10,000 employees",Any Age Range,connected to any,1500
USA,Female,IT,Partner,"5001-10,000 employees",55+,connected to big companies,0
USA,Female,IT,Partner,"5001-10,000 employees",55+,connected to any,0
USA,Female,IT,Partner,"5001-10,000 employees",35 to 54,connected to big companies,590
USA,Female,IT,Partner,"5001-10,000 employees",35 to 54,connected to any,890
USA,Female,IT,Partner,"5001-10,000 employees",25 to 34,connected to big companies,0
USA,Female,IT,Partner,"5001-10,000 employees",25 to 34,connected to any,0
USA,Female,IT,Partner,"5001-10,000 employees",18 to 24,connected to big companies,0
USA,Female,IT,Partner,"5001-10,000 employees",18 to 24,connected to any,0
USA,Female,IT,Partner,1001-5000 employees,Any Age Range,connected to big companies,2500
USA,Female,IT,Partner,1001-5000 employees,Any Age Range,connected to any,3900
USA,Female,IT,Partner,1001-5000 employees,55+,connected to big companies,400
USA,Female,IT,Partner,1001-5000 employees,55+,connected to any,640
USA,Female,IT,Partner,1001-5000 employees,35 to 54,connected to big companies,1500
USA,Female,IT,Partner,1001-5000 employees,35 to 54,connected to any,2200
USA,Female,IT,Partner,1001-5000 employees,25 to 34,connected to big companies,490
USA,Female,IT,Partner,1001-5000 employees,25 to 34,connected to any,870
USA,Female,IT,Partner,1001-5000 employees,18 to 24,connected to big companies,0
USA,Female,IT,Partner,1001-5000 employees,18 to 24,connected to any,0
USA,Female,IT,Partner,501-1000 employees,Any Age Range,connected to big companies,1400
USA,Female,IT,Partner,501-1000 employees,Any Age Range,connected to any,2200
USA,Female,IT,Partner,501-1000 employees,55+,connected to big companies,0
USA,Female,IT,Partner,501-1000 employees,55+,connected to any,350
USA,Female,IT,Partner,501-1000 employees,35 to 54,connected to big companies,800
USA,Female,IT,Partner,501-1000 employees,35 to 54,connected to any,1200
USA,Female,IT,Partner,501-1000 employees,25 to 34,connected to big companies,0
USA,Female,IT,Partner,501-1000 employees,25 to 34,connected to any,450
USA,Female,IT,Partner,501-1000 employees,18 to 24,connected to big companies,0
USA,Female,IT,Partner,501-1000 employees,18 to 24,connected to any,0
USA,Female,IT,Partner,201-500 employees,Any Age Range,connected to big companies,2200
USA,Female,IT,Partner,201-500 employees,Any Age Range,connected to any,3400
USA,Female,IT,Partner,201-500 employees,55+,connected to big companies,350
USA,Female,IT,Partner,201-500 employees,55+,connected to any,570
USA,Female,IT,Partner,201-500 employees,35 to 54,connected to big companies,1300
USA,Female,IT,Partner,201-500 employees,35 to 54,connected to any,2000
USA,Female,IT,Partner,201-500 employees,25 to 34,connected to big companies,410
USA,Female,IT,Partner,201-500 employees,25 to 34,connected to any,680
USA,Female,IT,Partner,201-500 employees,18 to 24,connected to big companies,0
USA,Female,IT,Partner,201-500 employees,18 to 24,connected to any,0
USA,Female,IT,Partner,51-200 employees,Any Age Range,connected to big companies,3900
USA,Female,IT,Partner,51-200 employees,Any Age Range,connected to any,6100
USA,Female,IT,Partner,51-200 employees,55+,connected to big companies,630
USA,Female,IT,Partner,51-200 employees,55+,connected to any,1000
USA,Female,IT,Partner,51-200 employees,35 to 54,connected to big companies,2400
USA,Female,IT,Partner,51-200 employees,35 to 54,connected to any,3500
USA,Female,IT,Partner,51-200 employees,25 to 34,connected to big companies,710
USA,Female,IT,Partner,51-200 employees,25 to 34,connected to any,1200
USA,Female,IT,Partner,51-200 employees,18 to 24,connected to big companies,0
USA,Female,IT,Partner,51-200 employees,18 to 24,connected to any,400
USA,Female,IT,Partner,11-50 employees,Any Age Range,connected to big companies,5700
USA,Female,IT,Partner,11-50 employees,Any Age Range,connected to any,8900
USA,Female,IT,Partner,11-50 employees,55+,connected to big companies,880
USA,Female,IT,Partner,11-50 employees,55+,connected to any,1500
USA,Female,IT,Partner,11-50 employees,35 to 54,connected to big companies,3400
USA,Female,IT,Partner,11-50 employees,35 to 54,connected to any,5200
USA,Female,IT,Partner,11-50 employees,25 to 34,connected to big companies,1000
USA,Female,IT,Partner,11-50 employees,25 to 34,connected to any,1700
USA,Female,IT,Partner,11-50 employees,18 to 24,connected to big companies,340
USA,Female,IT,Partner,11-50 employees,18 to 24,connected to any,540
USA,Female,IT,Partner,2-10 employees,Any Age Range,connected to big companies,6100
USA,Female,IT,Partner,2-10 employees,Any Age Range,connected to any,10000
USA,Female,IT,Partner,2-10 employees,55+,connected to big companies,880
USA,Female,IT,Partner,2-10 employees,55+,connected to any,1700
USA,Female,IT,Partner,2-10 employees,35 to 54,connected to big companies,3700
USA,Female,IT,Partner,2-10 employees,35 to 54,connected to any,5900
USA,Female,IT,Partner,2-10 employees,25 to 34,connected to big companies,1100
USA,Female,IT,Partner,2-10 employees,25 to 34,connected to any,1900
USA,Female,IT,Partner,2-10 employees,18 to 24,connected to big companies,350
USA,Female,IT,Partner,2-10 employees,18 to 24,connected to any,550
USA,Female,IT,Partner,Myself Only,Any Age Range,connected to big companies,660
USA,Female,IT,Partner,Myself Only,Any Age Range,connected to any,1100
USA,Female,IT,Partner,Myself Only,55+,connected to big companies,0
USA,Female,IT,Partner,Myself Only,55+,connected to any,0
USA,Female,IT,Partner,Myself Only,35 to 54,connected to big companies,370
USA,Female,IT,Partner,Myself Only,35 to 54,connected to any,570
USA,Female,IT,Partner,Myself Only,25 to 34,connected to big companies,0
USA,Female,IT,Partner,Myself Only,25 to 34,connected to any,0
USA,Female,IT,Partner,Myself Only,18 to 24,connected to big companies,0
USA,Female,IT,Partner,Myself Only,18 to 24,connected to any,0
USA,Female,IT,CXO,Any Company Size,Any Age Range,connected to big companies,30000
USA,Female,IT,CXO,Any Company Size,Any Age Range,connected to any,92000
USA,Female,IT,CXO,Any Company Size,55+,connected to big companies,4500
USA,Female,IT,CXO,Any Company Size,55+,connected to any,12000
USA,Female,IT,CXO,Any Company Size,35 to 54,connected to big companies,18000
USA,Female,IT,CXO,Any Company Size,35 to 54,connected to any,44000
USA,Female,IT,CXO,Any Company Size,25 to 34,connected to big companies,5400
USA,Female,IT,CXO,Any Company Size,25 to 34,connected to any,31000
USA,Female,IT,CXO,Any Company Size,18 to 24,connected to big companies,1800
USA,Female,IT,CXO,Any Company Size,18 to 24,connected to any,5700
USA,Female,IT,CXO,"10,001+ employees",Any Age Range,connected to big companies,4600
USA,Female,IT,CXO,"10,001+ employees",Any Age Range,connected to any,11000
USA,Female,IT,CXO,"10,001+ employees",55+,connected to big companies,620
USA,Female,IT,CXO,"10,001+ employees",55+,connected to any,1300
USA,Female,IT,CXO,"10,001+ employees",35 to 54,connected to big companies,2500
USA,Female,IT,CXO,"10,001+ employees",35 to 54,connected to any,5000
USA,Female,IT,CXO,"10,001+ employees",25 to 34,connected to big companies,980
USA,Female,IT,CXO,"10,001+ employees",25 to 34,connected to any,3500
USA,Female,IT,CXO,"10,001+ employees",18 to 24,connected to big companies,510
USA,Female,IT,CXO,"10,001+ employees",18 to 24,connected to any,1400
USA,Female,IT,CXO,"5001-10,000 employees",Any Age Range,connected to big companies,1200
USA,Female,IT,CXO,"5001-10,000 employees",Any Age Range,connected to any,2500
USA,Female,IT,CXO,"5001-10,000 employees",55+,connected to big companies,0
USA,Female,IT,CXO,"5001-10,000 employees",55+,connected to any,360
USA,Female,IT,CXO,"5001-10,000 employees",35 to 54,connected to big companies,680
USA,Female,IT,CXO,"5001-10,000 employees",35 to 54,connected to any,1300
USA,Female,IT,CXO,"5001-10,000 employees",25 to 34,connected to big companies,0
USA,Female,IT,CXO,"5001-10,000 employees",25 to 34,connected to any,630
USA,Female,IT,CXO,"5001-10,000 employees",18 to 24,connected to big companies,0
USA,Female,IT,CXO,"5001-10,000 employees",18 to 24,connected to any,0
USA,Female,IT,CXO,1001-5000 employees,Any Age Range,connected to big companies,3000
USA,Female,IT,CXO,1001-5000 employees,Any Age Range,connected to any,6400
USA,Female,IT,CXO,1001-5000 employees,55+,connected to big companies,450
USA,Female,IT,CXO,1001-5000 employees,55+,connected to any,900
USA,Female,IT,CXO,1001-5000 employees,35 to 54,connected to big companies,1800
USA,Female,IT,CXO,1001-5000 employees,35 to 54,connected to any,3300
USA,Female,IT,CXO,1001-5000 employees,25 to 34,connected to big companies,570
USA,Female,IT,CXO,1001-5000 employees,25 to 34,connected to any,1700
USA,Female,IT,CXO,1001-5000 employees,18 to 24,connected to big companies,0
USA,Female,IT,CXO,1001-5000 employees,18 to 24,connected to any,510
USA,Female,IT,CXO,501-1000 employees,Any Age Range,connected to big companies,1800
USA,Female,IT,CXO,501-1000 employees,Any Age Range,connected to any,3700
USA,Female,IT,CXO,501-1000 employees,55+,connected to big companies,0
USA,Female,IT,CXO,501-1000 employees,55+,connected to any,520
USA,Female,IT,CXO,501-1000 employees,35 to 54,connected to big companies,1100
USA,Female,IT,CXO,501-1000 employees,35 to 54,connected to any,1900
USA,Female,IT,CXO,501-1000 employees,25 to 34,connected to big companies,320
USA,Female,IT,CXO,501-1000 employees,25 to 34,connected to any,870
USA,Female,IT,CXO,501-1000 employees,18 to 24,connected to big companies,0
USA,Female,IT,CXO,501-1000 employees,18 to 24,connected to any,380
USA,Female,IT,CXO,201-500 employees,Any Age Range,connected to big companies,2900
USA,Female,IT,CXO,201-500 employees,Any Age Range,connected to any,6000
USA,Female,IT,CXO,201-500 employees,55+,connected to big companies,450
USA,Female,IT,CXO,201-500 employees,55+,connected to any,880
USA,Female,IT,CXO,201-500 employees,35 to 54,connected to big companies,1800
USA,Female,IT,CXO,201-500 employees,35 to 54,connected to any,3300
USA,Female,IT,CXO,201-500 employees,25 to 34,connected to big companies,460
USA,Female,IT,CXO,201-500 employees,25 to 34,connected to any,1400
USA,Female,IT,CXO,201-500 employees,18 to 24,connected to big companies,0
USA,Female,IT,CXO,201-500 employees,18 to 24,connected to any,450
USA,Female,IT,CXO,51-200 employees,Any Age Range,connected to big companies,6200
USA,Female,IT,CXO,51-200 employees,Any Age Range,connected to any,13000
USA,Female,IT,CXO,51-200 employees,55+,connected to big companies,900
USA,Female,IT,CXO,51-200 employees,55+,connected to any,1800
USA,Female,IT,CXO,51-200 employees,35 to 54,connected to big companies,3800
USA,Female,IT,CXO,51-200 employees,35 to 54,connected to any,7000
USA,Female,IT,CXO,51-200 employees,25 to 34,connected to big companies,1000
USA,Female,IT,CXO,51-200 employees,25 to 34,connected to any,3000
USA,Female,IT,CXO,51-200 employees,18 to 24,connected to big companies,540
USA,Female,IT,CXO,51-200 employees,18 to 24,connected to any,930
USA,Female,IT,CXO,11-50 employees,Any Age Range,connected to big companies,9900
USA,Female,IT,CXO,11-50 employees,Any Age Range,connected to any,22000
USA,Female,IT,CXO,11-50 employees,55+,connected to big companies,1500
USA,Female,IT,CXO,11-50 employees,55+,connected to any,3200
USA,Female,IT,CXO,11-50 employees,35 to 54,connected to big companies,5900
USA,Female,IT,CXO,11-50 employees,35 to 54,connected to any,12000
USA,Female,IT,CXO,11-50 employees,25 to 34,connected to big companies,1700
USA,Female,IT,CXO,11-50 employees,25 to 34,connected to any,5500
USA,Female,IT,CXO,11-50 employees,18 to 24,connected to big companies,760
USA,Female,IT,CXO,11-50 employees,18 to 24,connected to any,1400
USA,Female,IT,CXO,2-10 employees,Any Age Range,connected to big companies,11000
USA,Female,IT,CXO,2-10 employees,Any Age Range,connected to any,26000
