,Country,Gender,Sector,Job Seniority,Company Size,Age Ranges,Connectivity Status,Count
158,PHL,Any Gender,Finance,Owner,201-500 employees,18 to 24,connected to big companies,0
159,PHL,Any Gender,Finance,Owner,201-500 employees,18 to 24,connected to any,0
160,PHL,Any Gender,Finance,Owner,51-200 employees,Any Age Range,connected to big companies,0
161,PHL,Any Gender,Finance,Owner,51-200 employees,Any Age Range,connected to any,500
162,PHL,Any Gender,Finance,Owner,51-200 employees,55+,connected to big companies,0
163,PHL,Any Gender,Finance,Owner,51-200 employees,55+,connected to any,0
164,PHL,Any Gender,Finance,Owner,51-200 employees,35 to 54,connected to big companies,0
165,PHL,Any Gender,Finance,Owner,51-200 employees,35 to 54,connected to any,0
166,PHL,Any Gender,Finance,Owner,51-200 employees,25 to 34,connected to big companies,0
167,PHL,Any Gender,Finance,Owner,51-200 employees,25 to 34,connected to any,0
168,PHL,Any Gender,Finance,Owner,51-200 employees,18 to 24,connected to big companies,0
169,PHL,Any Gender,Finance,Owner,51-200 employees,18 to 24,connected to any,0
170,PHL,Any Gender,Finance,Owner,11-50 employees,Any Age Range,connected to big companies,0
171,PHL,Any Gender,Finance,Owner,11-50 employees,Any Age Range,connected to any,730
172,PHL,Any Gender,Finance,Owner,11-50 employees,55+,connected to big companies,0
173,PHL,Any Gender,Finance,Owner,11-50 employees,55+,connected to any,0
174,PHL,Any Gender,Finance,Owner,11-50 employees,35 to 54,connected to big companies,0
175,PHL,Any Gender,Finance,Owner,11-50 employees,35 to 54,connected to any,300
176,PHL,Any Gender,Finance,Owner,11-50 employees,25 to 34,connected to big companies,0
177,PHL,Any Gender,Finance,Owner,11-50 employees,25 to 34,connected to any,300
178,PHL,Any Gender,Finance,Owner,11-50 employees,18 to 24,connected to big companies,0
179,PHL,Any Gender,Finance,Owner,11-50 employees,18 to 24,connected to any,0
180,PHL,Any Gender,Finance,Owner,2-10 employees,Any Age Range,connected to big companies,0
181,PHL,Any Gender,Finance,Owner,2-10 employees,Any Age Range,connected to any,1200
182,PHL,Any Gender,Finance,Owner,2-10 employees,55+,connected to big companies,0
183,PHL,Any Gender,Finance,Owner,2-10 employees,55+,connected to any,0
184,PHL,Any Gender,Finance,Owner,2-10 employees,35 to 54,connected to big companies,0
185,PHL,Any Gender,Finance,Owner,2-10 employees,35 to 54,connected to any,370
186,PHL,Any Gender,Finance,Owner,2-10 employees,25 to 34,connected to big companies,0
187,PHL,Any Gender,Finance,Owner,2-10 employees,25 to 34,connected to any,570
188,PHL,Any Gender,Finance,Owner,2-10 employees,18 to 24,connected to big companies,0
189,PHL,Any Gender,Finance,Owner,2-10 employees,18 to 24,connected to any,0
190,PHL,Any Gender,Finance,Owner,Myself Only,Any Age Range,connected to big companies,0
191,PHL,Any Gender,Finance,Owner,Myself Only,Any Age Range,connected to any,0
192,PHL,Any Gender,Finance,Owner,Myself Only,55+,connected to big companies,0
193,PHL,Any Gender,Finance,Owner,Myself Only,55+,connected to any,0
194,PHL,Any Gender,Finance,Owner,Myself Only,35 to 54,connected to big companies,0
195,PHL,Any Gender,Finance,Owner,Myself Only,35 to 54,connected to any,0
196,PHL,Any Gender,Finance,Owner,Myself Only,25 to 34,connected to big companies,0
197,PHL,Any Gender,Finance,Owner,Myself Only,25 to 34,connected to any,0
198,PHL,Any Gender,Finance,Owner,Myself Only,18 to 24,connected to big companies,0
199,PHL,Any Gender,Finance,Owner,Myself Only,18 to 24,connected to any,0
200,PHL,Any Gender,Finance,Partner,Any Company Size,Any Age Range,connected to big companies,0
201,PHL,Any Gender,Finance,Partner,Any Company Size,Any Age Range,connected to any,1600
202,PHL,Any Gender,Finance,Partner,Any Company Size,55+,connected to big companies,0
203,PHL,Any Gender,Finance,Partner,Any Company Size,55+,connected to any,0
204,PHL,Any Gender,Finance,Partner,Any Company Size,35 to 54,connected to big companies,0
205,PHL,Any Gender,Finance,Partner,Any Company Size,35 to 54,connected to any,670
206,PHL,Any Gender,Finance,Partner,Any Company Size,25 to 34,connected to big companies,0
207,PHL,Any Gender,Finance,Partner,Any Company Size,25 to 34,connected to any,610
208,PHL,Any Gender,Finance,Partner,Any Company Size,18 to 24,connected to big companies,0
209,PHL,Any Gender,Finance,Partner,Any Company Size,18 to 24,connected to any,0
210,PHL,Any Gender,Finance,Partner,"10,001+ employees",Any Age Range,connected to big companies,0
211,PHL,Any Gender,Finance,Partner,"10,001+ employees",Any Age Range,connected to any,0
212,PHL,Any Gender,Finance,Partner,"10,001+ employees",55+,connected to big companies,0
213,PHL,Any Gender,Finance,Partner,"10,001+ employees",55+,connected to any,0
214,PHL,Any Gender,Finance,Partner,"10,001+ employees",35 to 54,connected to big companies,0
215,PHL,Any Gender,Finance,Partner,"10,001+ employees",35 to 54,connected to any,0
216,PHL,Any Gender,Finance,Partner,"10,001+ employees",25 to 34,connected to big companies,0
217,PHL,Any Gender,Finance,Partner,"10,001+ employees",25 to 34,connected to any,0
218,PHL,Any Gender,Finance,Partner,"10,001+ employees",18 to 24,connected to big companies,0
219,PHL,Any Gender,Finance,Partner,"10,001+ employees",18 to 24,connected to any,0
220,PHL,Any Gender,Finance,Partner,"5001-10,000 employees",Any Age Range,connected to big companies,0
221,PHL,Any Gender,Finance,Partner,"5001-10,000 employees",Any Age Range,connected to any,0
222,PHL,Any Gender,Finance,Partner,"5001-10,000 employees",55+,connected to big companies,0
223,PHL,Any Gender,Finance,Partner,"5001-10,000 employees",55+,connected to any,0
224,PHL,Any Gender,Finance,Partner,"5001-10,000 employees",35 to 54,connected to big companies,0
225,PHL,Any Gender,Finance,Partner,"5001-10,000 employees",35 to 54,connected to any,0
226,PHL,Any Gender,Finance,Partner,"5001-10,000 employees",25 to 34,connected to big companies,0
227,PHL,Any Gender,Finance,Partner,"5001-10,000 employees",25 to 34,connected to any,0
228,PHL,Any Gender,Finance,Partner,"5001-10,000 employees",18 to 24,connected to big companies,0
229,PHL,Any Gender,Finance,Partner,"5001-10,000 employees",18 to 24,connected to any,0
230,PHL,Any Gender,Finance,Partner,1001-5000 employees,Any Age Range,connected to big companies,0
231,PHL,Any Gender,Finance,Partner,1001-5000 employees,Any Age Range,connected to any,0
232,PHL,Any Gender,Finance,Partner,1001-5000 employees,55+,connected to big companies,0
233,PHL,Any Gender,Finance,Partner,1001-5000 employees,55+,connected to any,0
234,PHL,Any Gender,Finance,Partner,1001-5000 employees,35 to 54,connected to big companies,0
235,PHL,Any Gender,Finance,Partner,1001-5000 employees,35 to 54,connected to any,0
236,PHL,Any Gender,Finance,Partner,1001-5000 employees,25 to 34,connected to big companies,0
237,PHL,Any Gender,Finance,Partner,1001-5000 employees,25 to 34,connected to any,0
238,PHL,Any Gender,Finance,Partner,1001-5000 employees,18 to 24,connected to big companies,0
239,PHL,Any Gender,Finance,Partner,1001-5000 employees,18 to 24,connected to any,0
240,PHL,Any Gender,Finance,Partner,501-1000 employees,Any Age Range,connected to big companies,0
241,PHL,Any Gender,Finance,Partner,501-1000 employees,Any Age Range,connected to any,0
242,PHL,Any Gender,Finance,Partner,501-1000 employees,55+,connected to big companies,0
243,PHL,Any Gender,Finance,Partner,501-1000 employees,55+,connected to any,0
244,PHL,Any Gender,Finance,Partner,501-1000 employees,35 to 54,connected to big companies,0
245,PHL,Any Gender,Finance,Partner,501-1000 employees,35 to 54,connected to any,0
246,PHL,Any Gender,Finance,Partner,501-1000 employees,25 to 34,connected to big companies,0
247,PHL,Any Gender,Finance,Partner,501-1000 employees,25 to 34,connected to any,0
248,PHL,Any Gender,Finance,Partner,501-1000 employees,18 to 24,connected to big companies,0
249,PHL,Any Gender,Finance,Partner,501-1000 employees,18 to 24,connected to any,0
250,PHL,Any Gender,Finance,Partner,201-500 employees,Any Age Range,connected to big companies,0
251,PHL,Any Gender,Finance,Partner,201-500 employees,Any Age Range,connected to any,0
252,PHL,Any Gender,Finance,Partner,201-500 employees,55+,connected to big companies,0
253,PHL,Any Gender,Finance,Partner,201-500 employees,55+,connected to any,0
254,PHL,Any Gender,Finance,Partner,201-500 employees,35 to 54,connected to big companies,0
255,PHL,Any Gender,Finance,Partner,201-500 employees,35 to 54,connected to any,0
256,PHL,Any Gender,Finance,Partner,201-500 employees,25 to 34,connected to big companies,0
257,PHL,Any Gender,Finance,Partner,201-500 employees,25 to 34,connected to any,0
258,PHL,Any Gender,Finance,Partner,201-500 employees,18 to 24,connected to big companies,0
259,PHL,Any Gender,Finance,Partner,201-500 employees,18 to 24,connected to any,0
260,PHL,Any Gender,Finance,Partner,51-200 employees,Any Age Range,connected to big companies,0
261,PHL,Any Gender,Finance,Partner,51-200 employees,Any Age Range,connected to any,320
262,PHL,Any Gender,Finance,Partner,51-200 employees,55+,connected to big companies,0
263,PHL,Any Gender,Finance,Partner,51-200 employees,55+,connected to any,0
264,PHL,Any Gender,Finance,Partner,51-200 employees,35 to 54,connected to big companies,0
265,PHL,Any Gender,Finance,Partner,51-200 employees,35 to 54,connected to any,0
266,PHL,Any Gender,Finance,Partner,51-200 employees,25 to 34,connected to big companies,0
267,PHL,Any Gender,Finance,Partner,51-200 employees,25 to 34,connected to any,0
268,PHL,Any Gender,Finance,Partner,51-200 employees,18 to 24,connected to big companies,0
269,PHL,Any Gender,Finance,Partner,51-200 employees,18 to 24,connected to any,0
270,PHL,Any Gender,Finance,Partner,11-50 employees,Any Age Range,connected to big companies,0
271,PHL,Any Gender,Finance,Partner,11-50 employees,Any Age Range,connected to any,320
272,PHL,Any Gender,Finance,Partner,11-50 employees,55+,connected to big companies,0
273,PHL,Any Gender,Finance,Partner,11-50 employees,55+,connected to any,0
274,PHL,Any Gender,Finance,Partner,11-50 employees,35 to 54,connected to big companies,0
275,PHL,Any Gender,Finance,Partner,11-50 employees,35 to 54,connected to any,0
276,PHL,Any Gender,Finance,Partner,11-50 employees,25 to 34,connected to big companies,0
277,PHL,Any Gender,Finance,Partner,11-50 employees,25 to 34,connected to any,0
278,PHL,Any Gender,Finance,Partner,11-50 employees,18 to 24,connected to big companies,0
279,PHL,Any Gender,Finance,Partner,11-50 employees,18 to 24,connected to any,0
280,PHL,Any Gender,Finance,Partner,2-10 employees,Any Age Range,connected to big companies,0
281,PHL,Any Gender,Finance,Partner,2-10 employees,Any Age Range,connected to any,0
282,PHL,Any Gender,Finance,Partner,2-10 employees,55+,connected to big companies,0
283,PHL,Any Gender,Finance,Partner,2-10 employees,55+,connected to any,0
284,PHL,Any Gender,Finance,Partner,2-10 employees,35 to 54,connected to big companies,0
285,PHL,Any Gender,Finance,Partner,2-10 employees,35 to 54,connected to any,0
286,PHL,Any Gender,Finance,Partner,2-10 employees,25 to 34,connected to big companies,0
287,PHL,Any Gender,Finance,Partner,2-10 employees,25 to 34,connected to any,0
288,PHL,Any Gender,Finance,Partner,2-10 employees,18 to 24,connected to big companies,0
289,PHL,Any Gender,Finance,Partner,2-10 employees,18 to 24,connected to any,0
290,PHL,Any Gender,Finance,Partner,Myself Only,Any Age Range,connected to big companies,0
291,PHL,Any Gender,Finance,Partner,Myself Only,Any Age Range,connected to any,0
292,PHL,Any Gender,Finance,Partner,Myself Only,55+,connected to big companies,0
293,PHL,Any Gender,Finance,Partner,Myself Only,55+,connected to any,0
294,PHL,Any Gender,Finance,Partner,Myself Only,35 to 54,connected to big companies,0
295,PHL,Any Gender,Finance,Partner,Myself Only,35 to 54,connected to any,0
296,PHL,Any Gender,Finance,Partner,Myself Only,25 to 34,connected to big companies,0
297,PHL,Any Gender,Finance,Partner,Myself Only,25 to 34,connected to any,0
298,PHL,Any Gender,Finance,Partner,Myself Only,18 to 24,connected to big companies,0
299,PHL,Any Gender,Finance,Partner,Myself Only,18 to 24,connected to any,0
300,PHL,Any Gender,Finance,CXO,Any Company Size,Any Age Range,connected to big companies,610
301,PHL,Any Gender,Finance,CXO,Any Company Size,Any Age Range,connected to any,5600
302,PHL,Any Gender,Finance,CXO,Any Company Size,55+,connected to big companies,0
303,PHL,Any Gender,Finance,CXO,Any Company Size,55+,connected to any,690
304,PHL,Any Gender,Finance,CXO,Any Company Size,35 to 54,connected to big companies,360
305,PHL,Any Gender,Finance,CXO,Any Company Size,35 to 54,connected to any,1700
306,PHL,Any Gender,Finance,CXO,Any Company Size,25 to 34,connected to big companies,0
307,PHL,Any Gender,Finance,CXO,Any Company Size,25 to 34,connected to any,2800
308,PHL,Any Gender,Finance,CXO,Any Company Size,18 to 24,connected to big companies,0
309,PHL,Any Gender,Finance,CXO,Any Company Size,18 to 24,connected to any,360
310,PHL,Any Gender,Finance,CXO,"10,001+ employees",Any Age Range,connected to big companies,0
311,PHL,Any Gender,Finance,CXO,"10,001+ employees",Any Age Range,connected to any,870
312,PHL,Any Gender,Finance,CXO,"10,001+ employees",55+,connected to big companies,0
313,PHL,Any Gender,Finance,CXO,"10,001+ employees",55+,connected to any,0
314,PHL,Any Gender,Finance,CXO,"10,001+ employees",35 to 54,connected to big companies,0
315,PHL,Any Gender,Finance,CXO,"10,001+ employees",35 to 54,connected to any,0
316,PHL,Any Gender,Finance,CXO,"10,001+ employees",25 to 34,connected to big companies,0
317,PHL,Any Gender,Finance,CXO,"10,001+ employees",25 to 34,connected to any,380
318,PHL,Any Gender,Finance,CXO,"10,001+ employees",18 to 24,connected to big companies,0
319,PHL,Any Gender,Finance,CXO,"10,001+ employees",18 to 24,connected to any,0
320,PHL,Any Gender,Finance,CXO,"5001-10,000 employees",Any Age Range,connected to big companies,0
321,PHL,Any Gender,Finance,CXO,"5001-10,000 employees",Any Age Range,connected to any,410
