Country,Gender,Sector,Job Seniority,Connectivity Status,Count
IND,Male,Finance,Owner,connected to any,60000
IND,Male,Finance,Partner,connected to big companies,2800
IND,Male,Finance,Partner,connected to any,17000
IND,Male,Finance,CXO,connected to big companies,2900
IND,Male,Finance,CXO,connected to any,26000
IND,Male,Finance,VP,connected to big companies,15000
IND,Male,Finance,VP,connected to any,110000
IND,Male,Finance,Director,connected to big companies,11000
IND,Male,Finance,Director,connected to any,97000
IND,Male,Finance,Manager,connected to big companies,19000
IND,Male,Finance,Manager,connected to any,360000
IND,Male,Finance,Senior,connected to big companies,51000
IND,Male,Finance,Senior,connected to any,810000
IND,Male,Finance,Entry,connected to big companies,25000
IND,Male,Finance,Entry,connected to any,680000
IND,Male,Finance,Training,connected to big companies,3000
IND,Male,Finance,Training,connected to any,32000
IND,Male,Finance,Unpaid,connected to big companies,0
IND,Male,Finance,Unpaid,connected to any,13000
IND,Female,Finance,Any Job Seniority,connected to big companies,59000
IND,Female,Finance,Any Job Seniority,connected to any,960000
IND,Female,Finance,Owner,connected to big companies,830
IND,Female,Finance,Owner,connected to any,10000
IND,Female,Finance,Partner,connected to big companies,420
IND,Female,Finance,Partner,connected to any,3300
IND,Female,Finance,CXO,connected to big companies,510
IND,Female,Finance,CXO,connected to any,4900
IND,Female,Finance,VP,connected to big companies,3900
IND,Female,Finance,VP,connected to any,29000
IND,Female,Finance,Director,connected to big companies,3000
IND,Female,Finance,Director,connected to any,20000
IND,Female,Finance,Manager,connected to big companies,6700
IND,Female,Finance,Manager,connected to any,94000
IND,Female,Finance,Senior,connected to big companies,22000
IND,Female,Finance,Senior,connected to any,300000
IND,Female,Finance,Entry,connected to big companies,12000
IND,Female,Finance,Entry,connected to any,280000
IND,Female,Finance,Training,connected to big companies,1700
IND,Female,Finance,Training,connected to any,19000
IND,Female,Finance,Unpaid,connected to big companies,0
IND,Female,Finance,Unpaid,connected to any,4400
VNM,Any Gender,Finance,Any Job Seniority,connected to big companies,1200
VNM,Any Gender,Finance,Any Job Seniority,connected to any,150000
VNM,Any Gender,Finance,Owner,connected to big companies,0
VNM,Any Gender,Finance,Owner,connected to any,3200
VNM,Any Gender,Finance,Partner,connected to big companies,0
VNM,Any Gender,Finance,Partner,connected to any,910
VNM,Any Gender,Finance,CXO,connected to big companies,0
VNM,Any Gender,Finance,CXO,connected to any,3300
VNM,Any Gender,Finance,VP,connected to big companies,0
VNM,Any Gender,Finance,VP,connected to any,2300
VNM,Any Gender,Finance,Director,connected to big companies,0
VNM,Any Gender,Finance,Director,connected to any,8200
VNM,Any Gender,Finance,Manager,connected to big companies,0
VNM,Any Gender,Finance,Manager,connected to any,11000
VNM,Any Gender,Finance,Senior,connected to big companies,360
VNM,Any Gender,Finance,Senior,connected to any,38000
VNM,Any Gender,Finance,Entry,connected to big companies,0
VNM,Any Gender,Finance,Entry,connected to any,42000
VNM,Any Gender,Finance,Training,connected to big companies,0
VNM,Any Gender,Finance,Training,connected to any,3900
VNM,Any Gender,Finance,Unpaid,connected to big companies,0
VNM,Any Gender,Finance,Unpaid,connected to any,710
VNM,Male,Finance,Any Job Seniority,connected to big companies,530
VNM,Male,Finance,Any Job Seniority,connected to any,46000
VNM,Male,Finance,Owner,connected to big companies,0
VNM,Male,Finance,Owner,connected to any,1300
VNM,Male,Finance,Partner,connected to big companies,0
VNM,Male,Finance,Partner,connected to any,440
VNM,Male,Finance,CXO,connected to big companies,0
VNM,Male,Finance,CXO,connected to any,1500
VNM,Male,Finance,VP,connected to big companies,0
VNM,Male,Finance,VP,connected to any,850
VNM,Male,Finance,Director,connected to big companies,0
VNM,Male,Finance,Director,connected to any,3200
VNM,Male,Finance,Manager,connected to big companies,0
VNM,Male,Finance,Manager,connected to any,3700
VNM,Male,Finance,Senior,connected to big companies,0
VNM,Male,Finance,Senior,connected to any,12000
VNM,Male,Finance,Entry,connected to big companies,0
VNM,Male,Finance,Entry,connected to any,12000
VNM,Male,Finance,Training,connected to big companies,0
VNM,Male,Finance,Training,connected to any,980
VNM,Male,Finance,Unpaid,connected to big companies,0
VNM,Male,Finance,Unpaid,connected to any,0
VNM,Female,Finance,Any Job Seniority,connected to big companies,480
VNM,Female,Finance,Any Job Seniority,connected to any,54000
VNM,Female,Finance,Owner,connected to big companies,0
VNM,Female,Finance,Owner,connected to any,1000
VNM,Female,Finance,Partner,connected to big companies,0
VNM,Female,Finance,Partner,connected to any,0
VNM,Female,Finance,CXO,connected to big companies,0
VNM,Female,Finance,CXO,connected to any,880
VNM,Female,Finance,VP,connected to big companies,0
VNM,Female,Finance,VP,connected to any,790
VNM,Female,Finance,Director,connected to big companies,0
VNM,Female,Finance,Director,connected to any,3000
VNM,Female,Finance,Manager,connected to big companies,0
VNM,Female,Finance,Manager,connected to any,4400
VNM,Female,Finance,Senior,connected to big companies,0
VNM,Female,Finance,Senior,connected to any,15000
VNM,Female,Finance,Entry,connected to big companies,0
VNM,Female,Finance,Entry,connected to any,15000
VNM,Female,Finance,Training,connected to big companies,0
VNM,Female,Finance,Training,connected to any,1300
VNM,Female,Finance,Unpaid,connected to big companies,0
VNM,Female,Finance,Unpaid,connected to any,0
GBR,Any Gender,Finance,Any Job Seniority,connected to big companies,260000
GBR,Any Gender,Finance,Any Job Seniority,connected to any,1800000
GBR,Any Gender,Finance,Owner,connected to big companies,9100
GBR,Any Gender,Finance,Owner,connected to any,53000
GBR,Any Gender,Finance,Partner,connected to big companies,11000
GBR,Any Gender,Finance,Partner,connected to any,34000
GBR,Any Gender,Finance,CXO,connected to big companies,12000
GBR,Any Gender,Finance,CXO,connected to any,52000
GBR,Any Gender,Finance,VP,connected to big companies,27000
GBR,Any Gender,Finance,VP,connected to any,82000
GBR,Any Gender,Finance,Director,connected to big companies,57000
GBR,Any Gender,Finance,Director,connected to any,240000
GBR,Any Gender,Finance,Manager,connected to big companies,21000
GBR,Any Gender,Finance,Manager,connected to any,170000
GBR,Any Gender,Finance,Senior,connected to big companies,84000
GBR,Any Gender,Finance,Senior,connected to any,620000
GBR,Any Gender,Finance,Entry,connected to big companies,37000
GBR,Any Gender,Finance,Entry,connected to any,370000
GBR,Any Gender,Finance,Training,connected to big companies,2200
GBR,Any Gender,Finance,Training,connected to any,12000
GBR,Any Gender,Finance,Unpaid,connected to big companies,660
GBR,Any Gender,Finance,Unpaid,connected to any,19000
GBR,Male,Finance,Any Job Seniority,connected to big companies,170000
GBR,Male,Finance,Any Job Seniority,connected to any,1000000
GBR,Male,Finance,Owner,connected to big companies,6800
GBR,Male,Finance,Owner,connected to any,38000
GBR,Male,Finance,Partner,connected to big companies,7900
GBR,Male,Finance,Partner,connected to any,24000
GBR,Male,Finance,CXO,connected to big companies,8900
GBR,Male,Finance,CXO,connected to any,37000
GBR,Male,Finance,VP,connected to big companies,19000
GBR,Male,Finance,VP,connected to any,57000
GBR,Male,Finance,Director,connected to big companies,40000
GBR,Male,Finance,Director,connected to any,160000
GBR,Male,Finance,Manager,connected to big companies,13000
GBR,Male,Finance,Manager,connected to any,95000
GBR,Male,Finance,Senior,connected to big companies,52000
GBR,Male,Finance,Senior,connected to any,330000
GBR,Male,Finance,Entry,connected to big companies,22000
GBR,Male,Finance,Entry,connected to any,180000
GBR,Male,Finance,Training,connected to big companies,1200
GBR,Male,Finance,Training,connected to any,5900
GBR,Male,Finance,Unpaid,connected to big companies,490
GBR,Male,Finance,Unpaid,connected to any,12000
GBR,Female,Finance,Any Job Seniority,connected to big companies,76000
GBR,Female,Finance,Any Job Seniority,connected to any,660000
GBR,Female,Finance,Owner,connected to big companies,1700
GBR,Female,Finance,Owner,connected to any,11000
GBR,Female,Finance,Partner,connected to big companies,2100
GBR,Female,Finance,Partner,connected to any,7200
GBR,Female,Finance,CXO,connected to big companies,2300
GBR,Female,Finance,CXO,connected to any,10000
GBR,Female,Finance,VP,connected to big companies,6700
GBR,Female,Finance,VP,connected to any,19000
GBR,Female,Finance,Director,connected to big companies,14000
GBR,Female,Finance,Director,connected to any,66000
GBR,Female,Finance,Manager,connected to big companies,7400
GBR,Female,Finance,Manager,connected to any,67000
GBR,Female,Finance,Senior,connected to big companies,27000
GBR,Female,Finance,Senior,connected to any,250000
GBR,Female,Finance,Entry,connected to big companies,12000
GBR,Female,Finance,Entry,connected to any,160000
GBR,Female,Finance,Training,connected to big companies,770
GBR,Female,Finance,Training,connected to any,4400
GBR,Female,Finance,Unpaid,connected to big companies,0
GBR,Female,Finance,Unpaid,connected to any,5900
USA,Any Gender,Finance,Any Job Seniority,connected to big companies,1000000
USA,Any Gender,Finance,Any Job Seniority,connected to any,9700000
USA,Any Gender,Finance,Owner,connected to big companies,45000
USA,Any Gender,Finance,Owner,connected to any,490000
USA,Any Gender,Finance,Partner,connected to big companies,47000
USA,Any Gender,Finance,Partner,connected to any,180000
USA,Any Gender,Finance,CXO,connected to big companies,65000
USA,Any Gender,Finance,CXO,connected to any,450000
USA,Any Gender,Finance,VP,connected to big companies,210000
USA,Any Gender,Finance,VP,connected to any,860000
USA,Any Gender,Finance,Director,connected to big companies,140000
USA,Any Gender,Finance,Director,connected to any,580000
USA,Any Gender,Finance,Manager,connected to big companies,86000
USA,Any Gender,Finance,Manager,connected to any,820000
USA,Any Gender,Finance,Senior,connected to big companies,300000
USA,Any Gender,Finance,Senior,connected to any,2900000
USA,Any Gender,Finance,Entry,connected to big companies,160000
USA,Any Gender,Finance,Entry,connected to any,2700000
USA,Any Gender,Finance,Training,connected to big companies,12000
USA,Any Gender,Finance,Training,connected to any,53000
USA,Any Gender,Finance,Unpaid,connected to big companies,1900
USA,Any Gender,Finance,Unpaid,connected to any,130000
USA,Male,Finance,Any Job Seniority,connected to big companies,640000
USA,Male,Finance,Any Job Seniority,connected to any,4800000
USA,Male,Finance,Owner,connected to big companies,34000
USA,Male,Finance,Owner,connected to any,320000
USA,Male,Finance,Partner,connected to big companies,36000
USA,Male,Finance,Partner,connected to any,130000
USA,Male,Finance,CXO,connected to big companies,50000
USA,Male,Finance,CXO,connected to any,320000
USA,Male,Finance,VP,connected to big companies,140000
USA,Male,Finance,VP,connected to any,540000
USA,Male,Finance,Director,connected to big companies,91000
USA,Male,Finance,Director,connected to any,340000
USA,Male,Finance,Manager,connected to big companies,51000
USA,Male,Finance,Manager,connected to any,390000
USA,Male,Finance,Senior,connected to big companies,180000
USA,Male,Finance,Senior,connected to any,1400000
USA,Male,Finance,Entry,connected to big companies,91000
USA,Male,Finance,Entry,connected to any,1100000
USA,Male,Finance,Training,connected to big companies,6900
USA,Male,Finance,Training,connected to any,28000
USA,Male,Finance,Unpaid,connected to big companies,1300
USA,Male,Finance,Unpaid,connected to any,63000
USA,Female,Finance,Any Job Seniority,connected to big companies,320000
USA,Female,Finance,Any Job Seniority,connected to any,4500000
USA,Female,Finance,Owner,connected to big companies,9500
USA,Female,Finance,Owner,connected to any,140000
USA,Female,Finance,Partner,connected to big companies,8400
USA,Female,Finance,Partner,connected to any,42000
USA,Female,Finance,CXO,connected to big companies,13000
USA,Female,Finance,CXO,connected to any,100000
USA,Female,Finance,VP,connected to big companies,58000
USA,Female,Finance,VP,connected to any,280000
USA,Female,Finance,Director,connected to big companies,40000
USA,Female,Finance,Director,connected to any,220000
USA,Female,Finance,Manager,connected to big companies,32000
USA,Female,Finance,Manager,connected to any,390000
USA,Female,Finance,Senior,connected to big companies,100000
USA,Female,Finance,Senior,connected to any,1400000
USA,Female,Finance,Entry,connected to big companies,56000
USA,Female,Finance,Entry,connected to any,1500000
USA,Female,Finance,Training,connected to big companies,3600
USA,Female,Finance,Training,connected to any,19000
USA,Female,Finance,Unpaid,connected to big companies,560
USA,Female,Finance,Unpaid,connected to any,60000
