,Unnamed: 0,Country,Gender,Sector,Job Seniority,Company Size,Age Ranges,Connectivity Status,Count
42,42,PHL,Any Gender,IT,Any Job Seniority,501-1000 employees,55+,connected to big companies,0
43,43,PHL,Any Gender,IT,Any Job Seniority,501-1000 employees,55+,connected to any,440
44,44,PHL,Any Gender,IT,Any Job Seniority,501-1000 employees,35 to 54,connected to big companies,1600
45,45,PHL,Any Gender,IT,Any Job Seniority,501-1000 employees,35 to 54,connected to any,9200
46,46,PHL,Any Gender,IT,Any Job Seniority,501-1000 employees,25 to 34,connected to big companies,2000
47,47,PHL,Any Gender,IT,Any Job Seniority,501-1000 employees,25 to 34,connected to any,28000
48,48,PHL,Any Gender,IT,Any Job Seniority,501-1000 employees,18 to 24,connected to big companies,0
49,49,PHL,Any Gender,IT,Any Job Seniority,501-1000 employees,18 to 24,connected to any,6200
50,50,PHL,Any Gender,IT,Any Job Seniority,201-500 employees,Any Age Range,connected to big companies,3300
51,51,PHL,Any Gender,IT,Any Job Seniority,201-500 employees,Any Age Range,connected to any,40000
52,52,PHL,Any Gender,IT,Any Job Seniority,201-500 employees,55+,connected to big companies,0
53,53,PHL,Any Gender,IT,Any Job Seniority,201-500 employees,55+,connected to any,500
54,54,PHL,Any Gender,IT,Any Job Seniority,201-500 employees,35 to 54,connected to big companies,1500
55,55,PHL,Any Gender,IT,Any Job Seniority,201-500 employees,35 to 54,connected to any,8500
56,56,PHL,Any Gender,IT,Any Job Seniority,201-500 employees,25 to 34,connected to big companies,1500
57,57,PHL,Any Gender,IT,Any Job Seniority,201-500 employees,25 to 34,connected to any,26000
58,58,PHL,Any Gender,IT,Any Job Seniority,201-500 employees,18 to 24,connected to big companies,0
59,59,PHL,Any Gender,IT,Any Job Seniority,201-500 employees,18 to 24,connected to any,5400
60,60,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,Any Age Range,connected to big companies,4900
61,61,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,Any Age Range,connected to any,68000
62,62,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,55+,connected to big companies,0
63,63,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,55+,connected to any,800
64,64,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,35 to 54,connected to big companies,2100
65,65,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,35 to 54,connected to any,13000
66,66,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,25 to 34,connected to big companies,2300
67,67,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,25 to 34,connected to any,45000
68,68,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,18 to 24,connected to big companies,0
69,69,PHL,Any Gender,IT,Any Job Seniority,51-200 employees,18 to 24,connected to any,8900
70,70,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,Any Age Range,connected to big companies,5100
71,71,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,Any Age Range,connected to any,73000
72,72,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,55+,connected to big companies,0
73,73,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,55+,connected to any,910
74,74,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,35 to 54,connected to big companies,2200
75,75,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,35 to 54,connected to any,13000
76,76,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,25 to 34,connected to big companies,2400
77,77,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,25 to 34,connected to any,48000
78,78,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,18 to 24,connected to big companies,0
79,79,PHL,Any Gender,IT,Any Job Seniority,11-50 employees,18 to 24,connected to any,10000
80,80,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,Any Age Range,connected to big companies,2700
81,81,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,Any Age Range,connected to any,44000
82,82,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,55+,connected to big companies,0
83,83,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,55+,connected to any,540
84,84,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,35 to 54,connected to big companies,1200
85,85,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,35 to 54,connected to any,6900
86,86,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,25 to 34,connected to big companies,1200
87,87,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,25 to 34,connected to any,28000
88,88,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,18 to 24,connected to big companies,0
89,89,PHL,Any Gender,IT,Any Job Seniority,2-10 employees,18 to 24,connected to any,7500
90,90,PHL,Any Gender,IT,Any Job Seniority,Myself Only,Any Age Range,connected to big companies,380
91,91,PHL,Any Gender,IT,Any Job Seniority,Myself Only,Any Age Range,connected to any,12000
92,92,PHL,Any Gender,IT,Any Job Seniority,Myself Only,55+,connected to big companies,0
93,93,PHL,Any Gender,IT,Any Job Seniority,Myself Only,55+,connected to any,0
94,94,PHL,Any Gender,IT,Any Job Seniority,Myself Only,35 to 54,connected to big companies,0
95,95,PHL,Any Gender,IT,Any Job Seniority,Myself Only,35 to 54,connected to any,1300
96,96,PHL,Any Gender,IT,Any Job Seniority,Myself Only,25 to 34,connected to big companies,0
97,97,PHL,Any Gender,IT,Any Job Seniority,Myself Only,25 to 34,connected to any,7300
98,98,PHL,Any Gender,IT,Any Job Seniority,Myself Only,18 to 24,connected to big companies,0
99,99,PHL,Any Gender,IT,Any Job Seniority,Myself Only,18 to 24,connected to any,3000
100,100,PHL,Any Gender,IT,Owner,Any Company Size,Any Age Range,connected to big companies,2000
101,101,PHL,Any Gender,IT,Owner,Any Company Size,Any Age Range,connected to any,17000
102,102,PHL,Any Gender,IT,Owner,Any Company Size,55+,connected to big companies,0
103,103,PHL,Any Gender,IT,Owner,Any Company Size,55+,connected to any,710
104,104,PHL,Any Gender,IT,Owner,Any Company Size,35 to 54,connected to big companies,1100
105,105,PHL,Any Gender,IT,Owner,Any Company Size,35 to 54,connected to any,5600
106,106,PHL,Any Gender,IT,Owner,Any Company Size,25 to 34,connected to big companies,660
107,107,PHL,Any Gender,IT,Owner,Any Company Size,25 to 34,connected to any,9200
108,108,PHL,Any Gender,IT,Owner,Any Company Size,18 to 24,connected to big companies,0
109,109,PHL,Any Gender,IT,Owner,Any Company Size,18 to 24,connected to any,1400
110,110,PHL,Any Gender,IT,Owner,"10,001+ employees",Any Age Range,connected to big companies,0
111,111,PHL,Any Gender,IT,Owner,"10,001+ employees",Any Age Range,connected to any,1600
112,112,PHL,Any Gender,IT,Owner,"10,001+ employees",55+,connected to big companies,0
113,113,PHL,Any Gender,IT,Owner,"10,001+ employees",55+,connected to any,0
114,114,PHL,Any Gender,IT,Owner,"10,001+ employees",35 to 54,connected to big companies,0
115,115,PHL,Any Gender,IT,Owner,"10,001+ employees",35 to 54,connected to any,490
116,116,PHL,Any Gender,IT,Owner,"10,001+ employees",25 to 34,connected to big companies,0
117,117,PHL,Any Gender,IT,Owner,"10,001+ employees",25 to 34,connected to any,790
118,118,PHL,Any Gender,IT,Owner,"10,001+ employees",18 to 24,connected to big companies,0
119,119,PHL,Any Gender,IT,Owner,"10,001+ employees",18 to 24,connected to any,0
120,120,PHL,Any Gender,IT,Owner,"5001-10,000 employees",Any Age Range,connected to big companies,0
121,121,PHL,Any Gender,IT,Owner,"5001-10,000 employees",Any Age Range,connected to any,420
122,122,PHL,Any Gender,IT,Owner,"5001-10,000 employees",55+,connected to big companies,0
123,123,PHL,Any Gender,IT,Owner,"5001-10,000 employees",55+,connected to any,0
124,124,PHL,Any Gender,IT,Owner,"5001-10,000 employees",35 to 54,connected to big companies,0
125,125,PHL,Any Gender,IT,Owner,"5001-10,000 employees",35 to 54,connected to any,0
126,126,PHL,Any Gender,IT,Owner,"5001-10,000 employees",25 to 34,connected to big companies,0
127,127,PHL,Any Gender,IT,Owner,"5001-10,000 employees",25 to 34,connected to any,0
128,128,PHL,Any Gender,IT,Owner,"5001-10,000 employees",18 to 24,connected to big companies,0
129,129,PHL,Any Gender,IT,Owner,"5001-10,000 employees",18 to 24,connected to any,0
130,130,PHL,Any Gender,IT,Owner,1001-5000 employees,Any Age Range,connected to big companies,0
131,131,PHL,Any Gender,IT,Owner,1001-5000 employees,Any Age Range,connected to any,630
132,132,PHL,Any Gender,IT,Owner,1001-5000 employees,55+,connected to big companies,0
133,133,PHL,Any Gender,IT,Owner,1001-5000 employees,55+,connected to any,0
134,134,PHL,Any Gender,IT,Owner,1001-5000 employees,35 to 54,connected to big companies,0
135,135,PHL,Any Gender,IT,Owner,1001-5000 employees,35 to 54,connected to any,0
136,136,PHL,Any Gender,IT,Owner,1001-5000 employees,25 to 34,connected to big companies,0
137,137,PHL,Any Gender,IT,Owner,1001-5000 employees,25 to 34,connected to any,310
138,138,PHL,Any Gender,IT,Owner,1001-5000 employees,18 to 24,connected to big companies,0
139,139,PHL,Any Gender,IT,Owner,1001-5000 employees,18 to 24,connected to any,0
140,140,PHL,Any Gender,IT,Owner,501-1000 employees,Any Age Range,connected to big companies,0
141,141,PHL,Any Gender,IT,Owner,501-1000 employees,Any Age Range,connected to any,970
142,142,PHL,Any Gender,IT,Owner,501-1000 employees,55+,connected to big companies,0
143,143,PHL,Any Gender,IT,Owner,501-1000 employees,55+,connected to any,0
144,144,PHL,Any Gender,IT,Owner,501-1000 employees,35 to 54,connected to big companies,0
145,145,PHL,Any Gender,IT,Owner,501-1000 employees,35 to 54,connected to any,390
146,146,PHL,Any Gender,IT,Owner,501-1000 employees,25 to 34,connected to big companies,0
147,147,PHL,Any Gender,IT,Owner,501-1000 employees,25 to 34,connected to any,470
148,148,PHL,Any Gender,IT,Owner,501-1000 employees,18 to 24,connected to big companies,0
149,149,PHL,Any Gender,IT,Owner,501-1000 employees,18 to 24,connected to any,0
150,150,PHL,Any Gender,IT,Owner,201-500 employees,Any Age Range,connected to big companies,0
151,151,PHL,Any Gender,IT,Owner,201-500 employees,Any Age Range,connected to any,720
152,152,PHL,Any Gender,IT,Owner,201-500 employees,55+,connected to big companies,0
153,153,PHL,Any Gender,IT,Owner,201-500 employees,55+,connected to any,0
154,154,PHL,Any Gender,IT,Owner,201-500 employees,35 to 54,connected to big companies,0
155,155,PHL,Any Gender,IT,Owner,201-500 employees,35 to 54,connected to any,0
156,156,PHL,Any Gender,IT,Owner,201-500 employees,25 to 34,connected to big companies,0
157,157,PHL,Any Gender,IT,Owner,201-500 employees,25 to 34,connected to any,330
158,158,PHL,Any Gender,IT,Owner,201-500 employees,18 to 24,connected to big companies,0
159,159,PHL,Any Gender,IT,Owner,201-500 employees,18 to 24,connected to any,0
160,160,PHL,Any Gender,IT,Owner,51-200 employees,Any Age Range,connected to big companies,370
161,161,PHL,Any Gender,IT,Owner,51-200 employees,Any Age Range,connected to any,1400
162,162,PHL,Any Gender,IT,Owner,51-200 employees,55+,connected to big companies,0
163,163,PHL,Any Gender,IT,Owner,51-200 employees,55+,connected to any,0
164,164,PHL,Any Gender,IT,Owner,51-200 employees,35 to 54,connected to big companies,0
165,165,PHL,Any Gender,IT,Owner,51-200 employees,35 to 54,connected to any,580
166,166,PHL,Any Gender,IT,Owner,51-200 employees,25 to 34,connected to big companies,0
167,167,PHL,Any Gender,IT,Owner,51-200 employees,25 to 34,connected to any,610
168,168,PHL,Any Gender,IT,Owner,51-200 employees,18 to 24,connected to big companies,0
169,169,PHL,Any Gender,IT,Owner,51-200 employees,18 to 24,connected to any,0
170,170,PHL,Any Gender,IT,Owner,11-50 employees,Any Age Range,connected to big companies,710
171,171,PHL,Any Gender,IT,Owner,11-50 employees,Any Age Range,connected to any,2500
172,172,PHL,Any Gender,IT,Owner,11-50 employees,55+,connected to big companies,0
173,173,PHL,Any Gender,IT,Owner,11-50 employees,55+,connected to any,0
174,174,PHL,Any Gender,IT,Owner,11-50 employees,35 to 54,connected to big companies,390
175,175,PHL,Any Gender,IT,Owner,11-50 employees,35 to 54,connected to any,1100
176,176,PHL,Any Gender,IT,Owner,11-50 employees,25 to 34,connected to big companies,0
177,177,PHL,Any Gender,IT,Owner,11-50 employees,25 to 34,connected to any,1100
178,178,PHL,Any Gender,IT,Owner,11-50 employees,18 to 24,connected to big companies,0
179,179,PHL,Any Gender,IT,Owner,11-50 employees,18 to 24,connected to any,0
180,180,PHL,Any Gender,IT,Owner,2-10 employees,Any Age Range,connected to big companies,820
181,181,PHL,Any Gender,IT,Owner,2-10 employees,Any Age Range,connected to any,3000
182,182,PHL,Any Gender,IT,Owner,2-10 employees,55+,connected to big companies,0
183,183,PHL,Any Gender,IT,Owner,2-10 employees,55+,connected to any,0
184,184,PHL,Any Gender,IT,Owner,2-10 employees,35 to 54,connected to big companies,420
185,185,PHL,Any Gender,IT,Owner,2-10 employees,35 to 54,connected to any,1200
186,186,PHL,Any Gender,IT,Owner,2-10 employees,25 to 34,connected to big companies,320
187,187,PHL,Any Gender,IT,Owner,2-10 employees,25 to 34,connected to any,1300
188,188,PHL,Any Gender,IT,Owner,2-10 employees,18 to 24,connected to big companies,0
189,189,PHL,Any Gender,IT,Owner,2-10 employees,18 to 24,connected to any,330
190,190,PHL,Any Gender,IT,Owner,Myself Only,Any Age Range,connected to big companies,0
191,191,PHL,Any Gender,IT,Owner,Myself Only,Any Age Range,connected to any,470
192,192,PHL,Any Gender,IT,Owner,Myself Only,55+,connected to big companies,0
193,193,PHL,Any Gender,IT,Owner,Myself Only,55+,connected to any,0
194,194,PHL,Any Gender,IT,Owner,Myself Only,35 to 54,connected to big companies,0
195,195,PHL,Any Gender,IT,Owner,Myself Only,35 to 54,connected to any,0
196,196,PHL,Any Gender,IT,Owner,Myself Only,25 to 34,connected to big companies,0
197,197,PHL,Any Gender,IT,Owner,Myself Only,25 to 34,connected to any,0
198,198,PHL,Any Gender,IT,Owner,Myself Only,18 to 24,connected to big companies,0
199,199,PHL,Any Gender,IT,Owner,Myself Only,18 to 24,connected to any,0
200,200,PHL,Any Gender,IT,Partner,Any Company Size,Any Age Range,connected to big companies,410
201,201,PHL,Any Gender,IT,Partner,Any Company Size,Any Age Range,connected to any,1700
202,202,PHL,Any Gender,IT,Partner,Any Company Size,55+,connected to big companies,0
203,203,PHL,Any Gender,IT,Partner,Any Company Size,55+,connected to any,0
204,204,PHL,Any Gender,IT,Partner,Any Company Size,35 to 54,connected to big companies,0
205,205,PHL,Any Gender,IT,Partner,Any Company Size,35 to 54,connected to any,670
206,206,PHL,Any Gender,IT,Partner,Any Company Size,25 to 34,connected to big companies,0
207,207,PHL,Any Gender,IT,Partner,Any Company Size,25 to 34,connected to any,720
208,208,PHL,Any Gender,IT,Partner,Any Company Size,18 to 24,connected to big companies,0
209,209,PHL,Any Gender,IT,Partner,Any Company Size,18 to 24,connected to any,0
210,210,PHL,Any Gender,IT,Partner,"10,001+ employees",Any Age Range,connected to big companies,0
211,211,PHL,Any Gender,IT,Partner,"10,001+ employees",Any Age Range,connected to any,0
212,212,PHL,Any Gender,IT,Partner,"10,001+ employees",55+,connected to big companies,0
213,213,PHL,Any Gender,IT,Partner,"10,001+ employees",55+,connected to any,0
214,214,PHL,Any Gender,IT,Partner,"10,001+ employees",35 to 54,connected to big companies,0
215,215,PHL,Any Gender,IT,Partner,"10,001+ employees",35 to 54,connected to any,0
216,216,PHL,Any Gender,IT,Partner,"10,001+ employees",25 to 34,connected to big companies,0
217,217,PHL,Any Gender,IT,Partner,"10,001+ employees",25 to 34,connected to any,0
218,218,PHL,Any Gender,IT,Partner,"10,001+ employees",18 to 24,connected to big companies,0
219,219,PHL,Any Gender,IT,Partner,"10,001+ employees",18 to 24,connected to any,0
220,220,PHL,Any Gender,IT,Partner,"5001-10,000 employees",Any Age Range,connected to big companies,0
221,221,PHL,Any Gender,IT,Partner,"5001-10,000 employees",Any Age Range,connected to any,0
222,222,PHL,Any Gender,IT,Partner,"5001-10,000 employees",55+,connected to big companies,0
223,223,PHL,Any Gender,IT,Partner,"5001-10,000 employees",55+,connected to any,0
224,224,PHL,Any Gender,IT,Partner,"5001-10,000 employees",35 to 54,connected to big companies,0
225,225,PHL,Any Gender,IT,Partner,"5001-10,000 employees",35 to 54,connected to any,0
226,226,PHL,Any Gender,IT,Partner,"5001-10,000 employees",25 to 34,connected to big companies,0
227,227,PHL,Any Gender,IT,Partner,"5001-10,000 employees",25 to 34,connected to any,0
228,228,PHL,Any Gender,IT,Partner,"5001-10,000 employees",18 to 24,connected to big companies,0
229,229,PHL,Any Gender,IT,Partner,"5001-10,000 employees",18 to 24,connected to any,0
230,230,PHL,Any Gender,IT,Partner,1001-5000 employees,Any Age Range,connected to big companies,0
231,231,PHL,Any Gender,IT,Partner,1001-5000 employees,Any Age Range,connected to any,0
232,232,PHL,Any Gender,IT,Partner,1001-5000 employees,55+,connected to big companies,0
233,233,PHL,Any Gender,IT,Partner,1001-5000 employees,55+,connected to any,0
234,234,PHL,Any Gender,IT,Partner,1001-5000 employees,35 to 54,connected to big companies,0
235,235,PHL,Any Gender,IT,Partner,1001-5000 employees,35 to 54,connected to any,0
236,236,PHL,Any Gender,IT,Partner,1001-5000 employees,25 to 34,connected to big companies,0
237,237,PHL,Any Gender,IT,Partner,1001-5000 employees,25 to 34,connected to any,0
238,238,PHL,Any Gender,IT,Partner,1001-5000 employees,18 to 24,connected to big companies,0
239,239,PHL,Any Gender,IT,Partner,1001-5000 employees,18 to 24,connected to any,0
240,240,PHL,Any Gender,IT,Partner,501-1000 employees,Any Age Range,connected to big companies,0
241,241,PHL,Any Gender,IT,Partner,501-1000 employees,Any Age Range,connected to any,0
242,242,PHL,Any Gender,IT,Partner,501-1000 employees,55+,connected to big companies,0
243,243,PHL,Any Gender,IT,Partner,501-1000 employees,55+,connected to any,0
244,244,PHL,Any Gender,IT,Partner,501-1000 employees,35 to 54,connected to big companies,0
245,245,PHL,Any Gender,IT,Partner,501-1000 employees,35 to 54,connected to any,0
246,246,PHL,Any Gender,IT,Partner,501-1000 employees,25 to 34,connected to big companies,0
247,247,PHL,Any Gender,IT,Partner,501-1000 employees,25 to 34,connected to any,0
248,248,PHL,Any Gender,IT,Partner,501-1000 employees,18 to 24,connected to big companies,0
249,249,PHL,Any Gender,IT,Partner,501-1000 employees,18 to 24,connected to any,0
250,250,PHL,Any Gender,IT,Partner,201-500 employees,Any Age Range,connected to big companies,0
251,251,PHL,Any Gender,IT,Partner,201-500 employees,Any Age Range,connected to any,0
252,252,PHL,Any Gender,IT,Partner,201-500 employees,55+,connected to big companies,0
253,253,PHL,Any Gender,IT,Partner,201-500 employees,55+,connected to any,0
254,254,PHL,Any Gender,IT,Partner,201-500 employees,35 to 54,connected to big companies,0
255,255,PHL,Any Gender,IT,Partner,201-500 employees,35 to 54,connected to any,0
256,256,PHL,Any Gender,IT,Partner,201-500 employees,25 to 34,connected to big companies,0
257,257,PHL,Any Gender,IT,Partner,201-500 employees,25 to 34,connected to any,0
258,258,PHL,Any Gender,IT,Partner,201-500 employees,18 to 24,connected to big companies,0
259,259,PHL,Any Gender,IT,Partner,201-500 employees,18 to 24,connected to any,0
260,260,PHL,Any Gender,IT,Partner,51-200 employees,Any Age Range,connected to big companies,0
261,261,PHL,Any Gender,IT,Partner,51-200 employees,Any Age Range,connected to any,300
262,262,PHL,Any Gender,IT,Partner,51-200 employees,55+,connected to big companies,0
263,263,PHL,Any Gender,IT,Partner,51-200 employees,55+,connected to any,0
264,264,PHL,Any Gender,IT,Partner,51-200 employees,35 to 54,connected to big companies,0
265,265,PHL,Any Gender,IT,Partner,51-200 employees,35 to 54,connected to any,0
266,266,PHL,Any Gender,IT,Partner,51-200 employees,25 to 34,connected to big companies,0
267,267,PHL,Any Gender,IT,Partner,51-200 employees,25 to 34,connected to any,0
268,268,PHL,Any Gender,IT,Partner,51-200 employees,18 to 24,connected to big companies,0
269,269,PHL,Any Gender,IT,Partner,51-200 employees,18 to 24,connected to any,0
270,270,PHL,Any Gender,IT,Partner,11-50 employees,Any Age Range,connected to big companies,0
271,271,PHL,Any Gender,IT,Partner,11-50 employees,Any Age Range,connected to any,470
272,272,PHL,Any Gender,IT,Partner,11-50 employees,55+,connected to big companies,0
273,273,PHL,Any Gender,IT,Partner,11-50 employees,55+,connected to any,0
274,274,PHL,Any Gender,IT,Partner,11-50 employees,35 to 54,connected to big companies,0
275,275,PHL,Any Gender,IT,Partner,11-50 employees,35 to 54,connected to any,0
276,276,PHL,Any Gender,IT,Partner,11-50 employees,25 to 34,connected to big companies,0
277,277,PHL,Any Gender,IT,Partner,11-50 employees,25 to 34,connected to any,0
278,278,PHL,Any Gender,IT,Partner,11-50 employees,18 to 24,connected to big companies,0
279,279,PHL,Any Gender,IT,Partner,11-50 employees,18 to 24,connected to any,0
280,280,PHL,Any Gender,IT,Partner,2-10 employees,Any Age Range,connected to big companies,0
281,281,PHL,Any Gender,IT,Partner,2-10 employees,Any Age Range,connected to any,400
282,282,PHL,Any Gender,IT,Partner,2-10 employees,55+,connected to big companies,0
283,283,PHL,Any Gender,IT,Partner,2-10 employees,55+,connected to any,0
284,284,PHL,Any Gender,IT,Partner,2-10 employees,35 to 54,connected to big companies,0
285,285,PHL,Any Gender,IT,Partner,2-10 employees,35 to 54,connected to any,0
286,286,PHL,Any Gender,IT,Partner,2-10 employees,25 to 34,connected to big companies,0
287,287,PHL,Any Gender,IT,Partner,2-10 employees,25 to 34,connected to any,0
288,288,PHL,Any Gender,IT,Partner,2-10 employees,18 to 24,connected to big companies,0
289,289,PHL,Any Gender,IT,Partner,2-10 employees,18 to 24,connected to any,0
290,290,PHL,Any Gender,IT,Partner,Myself Only,Any Age Range,connected to big companies,0
291,291,PHL,Any Gender,IT,Partner,Myself Only,Any Age Range,connected to any,0
292,292,PHL,Any Gender,IT,Partner,Myself Only,55+,connected to big companies,0
293,293,PHL,Any Gender,IT,Partner,Myself Only,55+,connected to any,0
294,294,PHL,Any Gender,IT,Partner,Myself Only,35 to 54,connected to big companies,0
295,295,PHL,Any Gender,IT,Partner,Myself Only,35 to 54,connected to any,0
296,296,PHL,Any Gender,IT,Partner,Myself Only,25 to 34,connected to big companies,0
297,297,PHL,Any Gender,IT,Partner,Myself Only,25 to 34,connected to any,0
298,298,PHL,Any Gender,IT,Partner,Myself Only,18 to 24,connected to big companies,0
299,299,PHL,Any Gender,IT,Partner,Myself Only,18 to 24,connected to any,0
300,300,PHL,Any Gender,IT,CXO,Any Company Size,Any Age Range,connected to big companies,1700
301,301,PHL,Any Gender,IT,CXO,Any Company Size,Any Age Range,connected to any,9600
302,302,PHL,Any Gender,IT,CXO,Any Company Size,55+,connected to big companies,0
303,303,PHL,Any Gender,IT,CXO,Any Company Size,55+,connected to any,780
304,304,PHL,Any Gender,IT,CXO,Any Company Size,35 to 54,connected to big companies,930
305,305,PHL,Any Gender,IT,CXO,Any Company Size,35 to 54,connected to any,3100
306,306,PHL,Any Gender,IT,CXO,Any Company Size,25 to 34,connected to big companies,370
307,307,PHL,Any Gender,IT,CXO,Any Company Size,25 to 34,connected to any,4900
308,308,PHL,Any Gender,IT,CXO,Any Company Size,18 to 24,connected to big companies,0
309,309,PHL,Any Gender,IT,CXO,Any Company Size,18 to 24,connected to any,760
310,310,PHL,Any Gender,IT,CXO,"10,001+ employees",Any Age Range,connected to big companies,0
311,311,PHL,Any Gender,IT,CXO,"10,001+ employees",Any Age Range,connected to any,990
312,312,PHL,Any Gender,IT,CXO,"10,001+ employees",55+,connected to big companies,0
313,313,PHL,Any Gender,IT,CXO,"10,001+ employees",55+,connected to any,0
