,Country,Sector,Job Seniority,Company Size,Age Ranges,Any_Gender_any,Male_any,Female_any,Any_Gender_with,Male_with,Female_with
58,USA,IT,Any Job Seniority,"10,001+ employees",35 to 54,1300000.0,820000.0,430000.0,520000.0,340000.0,150000.0
59,USA,IT,Any Job Seniority,"10,001+ employees",55+,230000.0,160000.0,58000.0,83000.0,63000.0,17000.0
60,USA,IT,Owner,"10,001+ employees",Any Age Range,67000.0,42000.0,19000.0,25000.0,17000.0,6300.0
61,USA,IT,Owner,"10,001+ employees",18 to 24,6400.0,3200.0,1900.0,1800.0,1100.0,590.0
62,USA,IT,Owner,"10,001+ employees",25 to 34,19000.0,11000.0,5800.0,6300.0,4100.0,1800.0
63,USA,IT,Owner,"10,001+ employees",35 to 54,33000.0,22000.0,9100.0,13000.0,9400.0,3300.0
64,USA,IT,Owner,"10,001+ employees",55+,8200.0,6000.0,1900.0,3200.0,2500.0,620.0
65,USA,IT,Partner,"10,001+ employees",Any Age Range,22000.0,15000.0,5900.0,13000.0,9100.0,3500.0
66,USA,IT,Partner,"10,001+ employees",18 to 24,1300.0,670.0,470.0,590.0,330.0,0.0
67,USA,IT,Partner,"10,001+ employees",25 to 34,4300.0,2600.0,1400.0,1900.0,1200.0,600.0
68,USA,IT,Partner,"10,001+ employees",35 to 54,12000.0,8000.0,3200.0,7900.0,5500.0,2100.0
69,USA,IT,Partner,"10,001+ employees",55+,4200.0,3200.0,850.0,2700.0,2000.0,540.0
70,USA,IT,CXO,"10,001+ employees",Any Age Range,45000.0,30000.0,11000.0,19000.0,14000.0,4600.0
71,USA,IT,CXO,"10,001+ employees",18 to 24,4400.0,2300.0,1400.0,1300.0,670.0,510.0
72,USA,IT,CXO,"10,001+ employees",25 to 34,12000.0,7200.0,3500.0,3200.0,2000.0,980.0
73,USA,IT,CXO,"10,001+ employees",35 to 54,20000.0,14000.0,5000.0,11000.0,7700.0,2500.0
74,USA,IT,CXO,"10,001+ employees",55+,7400.0,5900.0,1300.0,3800.0,3100.0,620.0
75,USA,IT,VP,"10,001+ employees",Any Age Range,82000.0,54000.0,21000.0,41000.0,29000.0,10000.0
76,USA,IT,VP,"10,001+ employees",18 to 24,4800.0,2300.0,1800.0,1100.0,560.0,490.0
77,USA,IT,VP,"10,001+ employees",25 to 34,15000.0,8900.0,5000.0,3300.0,2000.0,1200.0
78,USA,IT,VP,"10,001+ employees",35 to 54,46000.0,32000.0,12000.0,29000.0,20000.0,7300.0
79,USA,IT,VP,"10,001+ employees",55+,14000.0,11000.0,2500.0,7900.0,6300.0,1400.0
80,USA,IT,Director,"10,001+ employees",Any Age Range,200000.0,120000.0,59000.0,110000.0,72000.0,32000.0
81,USA,IT,Director,"10,001+ employees",18 to 24,10000.0,4700.0,3300.0,2800.0,1500.0,1100.0
82,USA,IT,Director,"10,001+ employees",25 to 34,33000.0,19000.0,12000.0,12000.0,7000.0,4500.0
83,USA,IT,Director,"10,001+ employees",35 to 54,120000.0,80000.0,38000.0,78000.0,52000.0,23000.0
84,USA,IT,Director,"10,001+ employees",55+,27000.0,20000.0,6000.0,15000.0,12000.0,3100.0
85,USA,IT,Manager,"10,001+ employees",Any Age Range,400000.0,240000.0,130000.0,160000.0,96000.0,51000.0
86,USA,IT,Manager,"10,001+ employees",18 to 24,25000.0,13000.0,9200.0,5700.0,3100.0,2200.0
87,USA,IT,Manager,"10,001+ employees",25 to 34,130000.0,70000.0,46000.0,37000.0,20000.0,15000.0
88,USA,IT,Manager,"10,001+ employees",35 to 54,210000.0,130000.0,71000.0,99000.0,62000.0,31000.0
89,USA,IT,Manager,"10,001+ employees",55+,34000.0,24000.0,8900.0,14000.0,10000.0,3200.0
90,USA,IT,Senior,"10,001+ employees",Any Age Range,1200000.0,680000.0,420000.0,410000.0,260000.0,120000.0
91,USA,IT,Senior,"10,001+ employees",18 to 24,84000.0,40000.0,33000.0,19000.0,10000.0,7500.0
92,USA,IT,Senior,"10,001+ employees",25 to 34,440000.0,230000.0,170000.0,130000.0,72000.0,44000.0
93,USA,IT,Senior,"10,001+ employees",35 to 54,560000.0,340000.0,190000.0,230000.0,150000.0,63000.0
94,USA,IT,Senior,"10,001+ employees",55+,91000.0,64000.0,25000.0,34000.0,25000.0,7100.0
95,USA,IT,Entry,"10,001+ employees",Any Age Range,1100000.0,640000.0,380000.0,210000.0,130000.0,59000.0
96,USA,IT,Entry,"10,001+ employees",18 to 24,180000.0,91000.0,62000.0,23000.0,13000.0,7000.0
97,USA,IT,Entry,"10,001+ employees",25 to 34,570000.0,310000.0,200000.0,99000.0,58000.0,29000.0
98,USA,IT,Entry,"10,001+ employees",35 to 54,330000.0,210000.0,110000.0,77000.0,51000.0,20000.0
99,USA,IT,Entry,"10,001+ employees",55+,47000.0,32000.0,13000.0,10000.0,7500.0,2100.0
100,USA,IT,Training,"10,001+ employees",Any Age Range,20000.0,9800.0,6500.0,7100.0,3700.0,2300.0
101,USA,IT,Training,"10,001+ employees",18 to 24,8800.0,4400.0,2700.0,3500.0,1900.0,1100.0
102,USA,IT,Training,"10,001+ employees",25 to 34,9200.0,4700.0,3200.0,3100.0,1600.0,1100.0
103,USA,IT,Training,"10,001+ employees",35 to 54,1400.0,740.0,550.0,370.0,0.0,0.0
104,USA,IT,Training,"10,001+ employees",55+,0.0,0.0,0.0,0.0,0.0,0.0
105,USA,IT,Unpaid,"10,001+ employees",Any Age Range,38000.0,21000.0,14000.0,1100.0,810.0,0.0
106,USA,IT,Unpaid,"10,001+ employees",18 to 24,6000.0,2900.0,2100.0,0.0,0.0,0.0
107,USA,IT,Unpaid,"10,001+ employees",25 to 34,22000.0,12000.0,9000.0,0.0,0.0,0.0
108,USA,IT,Unpaid,"10,001+ employees",35 to 54,5000.0,3100.0,1700.0,400.0,0.0,0.0
109,USA,IT,Unpaid,"10,001+ employees",55+,4000.0,2900.0,990.0,620.0,490.0,0.0
110,USA,IT,Any Job Seniority,"5001-10,000 employees",Any Age Range,500000.0,290000.0,170000.0,190000.0,120000.0,57000.0
111,USA,IT,Any Job Seniority,"5001-10,000 employees",18 to 24,40000.0,21000.0,15000.0,11000.0,6100.0,4100.0
112,USA,IT,Any Job Seniority,"5001-10,000 employees",25 to 34,190000.0,110000.0,72000.0,61000.0,35000.0,21000.0
113,USA,IT,Any Job Seniority,"5001-10,000 employees",35 to 54,220000.0,140000.0,71000.0,100000.0,68000.0,29000.0
114,USA,IT,Any Job Seniority,"5001-10,000 employees",55+,39000.0,28000.0,9800.0,16000.0,13000.0,3200.0
115,USA,IT,Owner,"5001-10,000 employees",Any Age Range,16000.0,10000.0,4600.0,6700.0,4600.0,1700.0
116,USA,IT,Owner,"5001-10,000 employees",18 to 24,970.0,520.0,360.0,400.0,0.0,0.0
117,USA,IT,Owner,"5001-10,000 employees",25 to 34,4100.0,2500.0,1300.0,1600.0,1000.0,450.0
118,USA,IT,Owner,"5001-10,000 employees",35 to 54,8300.0,5500.0,2400.0,3800.0,2700.0,960.0
119,USA,IT,Owner,"5001-10,000 employees",55+,2100.0,1500.0,520.0,900.0,700.0,0.0
120,USA,IT,Partner,"5001-10,000 employees",Any Age Range,5900.0,4100.0,1500.0,3900.0,2700.0,980.0
121,USA,IT,Partner,"5001-10,000 employees",18 to 24,0.0,0.0,0.0,0.0,0.0,0.0
122,USA,IT,Partner,"5001-10,000 employees",25 to 34,930.0,590.0,0.0,520.0,330.0,0.0
123,USA,IT,Partner,"5001-10,000 employees",35 to 54,3400.0,2300.0,890.0,2400.0,1700.0,590.0
124,USA,IT,Partner,"5001-10,000 employees",55+,1300.0,1000.0,0.0,810.0,640.0,0.0
125,USA,IT,CXO,"5001-10,000 employees",Any Age Range,10000.0,7200.0,2500.0,5300.0,3800.0,1200.0
126,USA,IT,CXO,"5001-10,000 employees",18 to 24,590.0,320.0,0.0,0.0,0.0,0.0
127,USA,IT,CXO,"5001-10,000 employees",25 to 34,2300.0,1400.0,630.0,810.0,520.0,0.0
128,USA,IT,CXO,"5001-10,000 employees",35 to 54,5300.0,3800.0,1300.0,3000.0,2200.0,680.0
129,USA,IT,CXO,"5001-10,000 employees",55+,2100.0,1600.0,360.0,1100.0,910.0,0.0
130,USA,IT,VP,"5001-10,000 employees",Any Age Range,15000.0,11000.0,3800.0,8700.0,6300.0,2000.0
131,USA,IT,VP,"5001-10,000 employees",18 to 24,610.0,0.0,0.0,0.0,0.0,0.0
132,USA,IT,VP,"5001-10,000 employees",25 to 34,2300.0,1400.0,680.0,650.0,410.0,0.0
133,USA,IT,VP,"5001-10,000 employees",35 to 54,9500.0,6700.0,2400.0,6100.0,4400.0,1500.0
134,USA,IT,VP,"5001-10,000 employees",55+,2800.0,2300.0,440.0,1600.0,1300.0,0.0
135,USA,IT,Director,"5001-10,000 employees",Any Age Range,39000.0,25000.0,12000.0,24000.0,16000.0,6900.0
136,USA,IT,Director,"5001-10,000 employees",18 to 24,1200.0,650.0,460.0,620.0,340.0,0.0
137,USA,IT,Director,"5001-10,000 employees",25 to 34,6400.0,3700.0,2300.0,3000.0,1700.0,1100.0
138,USA,IT,Director,"5001-10,000 employees",35 to 54,25000.0,17000.0,7700.0,17000.0,11000.0,4900.0
139,USA,IT,Director,"5001-10,000 employees",55+,5800.0,4300.0,1200.0,3300.0,2600.0,640.0
140,USA,IT,Manager,"5001-10,000 employees",Any Age Range,59000.0,34000.0,20000.0,28000.0,17000.0,9600.0
141,USA,IT,Manager,"5001-10,000 employees",18 to 24,2600.0,1400.0,1000.0,810.0,420.0,340.0
142,USA,IT,Manager,"5001-10,000 employees",25 to 34,17000.0,9500.0,6800.0,6700.0,3500.0,2900.0
143,USA,IT,Manager,"5001-10,000 employees",35 to 54,33000.0,20000.0,11000.0,18000.0,11000.0,5900.0
144,USA,IT,Manager,"5001-10,000 employees",55+,5300.0,3900.0,1300.0,2400.0,1800.0,530.0
145,USA,IT,Senior,"5001-10,000 employees",Any Age Range,200000.0,110000.0,68000.0,84000.0,53000.0,25000.0
146,USA,IT,Senior,"5001-10,000 employees",18 to 24,11000.0,5500.0,4500.0,3500.0,1800.0,1400.0
147,USA,IT,Senior,"5001-10,000 employees",25 to 34,73000.0,39000.0,29000.0,28000.0,16000.0,10000.0
148,USA,IT,Senior,"5001-10,000 employees",35 to 54,95000.0,59000.0,31000.0,45000.0,30000.0,12000.0
149,USA,IT,Senior,"5001-10,000 employees",55+,16000.0,11000.0,4200.0,6500.0,5000.0,1300.0
150,USA,IT,Entry,"5001-10,000 employees",Any Age Range,160000.0,93000.0,55000.0,41000.0,26000.0,12000.0
151,USA,IT,Entry,"5001-10,000 employees",18 to 24,21000.0,11000.0,7300.0,4800.0,2800.0,1600.0
152,USA,IT,Entry,"5001-10,000 employees",25 to 34,83000.0,46000.0,29000.0,20000.0,12000.0,6500.0
153,USA,IT,Entry,"5001-10,000 employees",35 to 54,50000.0,31000.0,16000.0,15000.0,9800.0,3900.0
154,USA,IT,Entry,"5001-10,000 employees",55+,7400.0,5000.0,2100.0,1800.0,1300.0,380.0
155,USA,IT,Training,"5001-10,000 employees",Any Age Range,3400.0,1700.0,1200.0,1400.0,710.0,500.0
156,USA,IT,Training,"5001-10,000 employees",18 to 24,1500.0,780.0,540.0,690.0,380.0,0.0
157,USA,IT,Training,"5001-10,000 employees",25 to 34,1600.0,820.0,600.0,610.0,0.0,0.0
158,USA,IT,Training,"5001-10,000 employees",35 to 54,0.0,0.0,0.0,0.0,0.0,0.0
159,USA,IT,Training,"5001-10,000 employees",55+,0.0,0.0,0.0,0.0,0.0,0.0
160,USA,IT,Unpaid,"5001-10,000 employees",Any Age Range,1800.0,1000.0,610.0,0.0,0.0,0.0
161,USA,IT,Unpaid,"5001-10,000 employees",18 to 24,0.0,0.0,0.0,0.0,0.0,0.0
162,USA,IT,Unpaid,"5001-10,000 employees",25 to 34,1000.0,580.0,390.0,0.0,0.0,0.0
163,USA,IT,Unpaid,"5001-10,000 employees",35 to 54,0.0,0.0,0.0,0.0,0.0,0.0
164,USA,IT,Unpaid,"5001-10,000 employees",55+,0.0,0.0,0.0,0.0,0.0,0.0
165,USA,IT,Any Job Seniority,1001-5000 employees,Any Age Range,1200000.0,690000.0,420000.0,430000.0,270000.0,130000.0
166,USA,IT,Any Job Seniority,1001-5000 employees,18 to 24,120000.0,63000.0,45000.0,26000.0,14000.0,9600.0
167,USA,IT,Any Job Seniority,1001-5000 employees,25 to 34,500000.0,270000.0,190000.0,150000.0,89000.0,55000.0
168,USA,IT,Any Job Seniority,1001-5000 employees,35 to 54,490000.0,300000.0,160000.0,220000.0,150000.0,62000.0
169,USA,IT,Any Job Seniority,1001-5000 employees,55+,80000.0,56000.0,21000.0,32000.0,25000.0,6400.0
170,USA,IT,Owner,1001-5000 employees,Any Age Range,45000.0,28000.0,14000.0,17000.0,12000.0,4300.0
171,USA,IT,Owner,1001-5000 employees,18 to 24,3100.0,1600.0,1200.0,1100.0,600.0,400.0
172,USA,IT,Owner,1001-5000 employees,25 to 34,14000.0,7800.0,4900.0,4300.0,2700.0,1300.0
173,USA,IT,Owner,1001-5000 employees,35 to 54,22000.0,14000.0,6200.0,9100.0,6600.0,2100.0
174,USA,IT,Owner,1001-5000 employees,55+,5800.0,4300.0,1400.0,2300.0,1800.0,420.0
175,USA,IT,Partner,1001-5000 employees,Any Age Range,16000.0,11000.0,3900.0,11000.0,7500.0,2500.0
176,USA,IT,Partner,1001-5000 employees,18 to 24,680.0,380.0,0.0,350.0,0.0,0.0
177,USA,IT,Partner,1001-5000 employees,25 to 34,2900.0,1800.0,870.0,1600.0,1100.0,490.0
178,USA,IT,Partner,1001-5000 employees,35 to 54,8700.0,6200.0,2200.0,6200.0,4500.0,1500.0
179,USA,IT,Partner,1001-5000 employees,55+,3400.0,2700.0,640.0,2200.0,1800.0,400.0
180,USA,IT,CXO,1001-5000 employees,Any Age Range,29000.0,20000.0,6400.0,14000.0,11000.0,3000.0
181,USA,IT,CXO,1001-5000 employees,18 to 24,1600.0,980.0,510.0,680.0,390.0,0.0
182,USA,IT,CXO,1001-5000 employees,25 to 34,6000.0,3800.0,1700.0,2000.0,1300.0,570.0
183,USA,IT,CXO,1001-5000 employees,35 to 54,15000.0,11000.0,3300.0,8600.0,6500.0,1800.0
184,USA,IT,CXO,1001-5000 employees,55+,5700.0,4600.0,900.0,3100.0,2600.0,450.0
185,USA,IT,VP,1001-5000 employees,Any Age Range,41000.0,29000.0,9500.0,24000.0,18000.0,5300.0
186,USA,IT,VP,1001-5000 employees,18 to 24,1400.0,720.0,570.0,490.0,0.0,0.0
187,USA,IT,VP,1001-5000 employees,25 to 34,6100.0,3800.0,1900.0,2100.0,1300.0,670.0
188,USA,IT,VP,1001-5000 employees,35 to 54,26000.0,19000.0,5900.0,17000.0,13000.0,3800.0
189,USA,IT,VP,1001-5000 employees,55+,6800.0,5500.0,1100.0,4200.0,3400.0,650.0
190,USA,IT,Director,1001-5000 employees,Any Age Range,96000.0,61000.0,29000.0,59000.0,39000.0,17000.0
191,USA,IT,Director,1001-5000 employees,18 to 24,3400.0,1800.0,1300.0,1600.0,830.0,650.0
192,USA,IT,Director,1001-5000 employees,25 to 34,19000.0,11000.0,6800.0,9500.0,5500.0,3500.0
193,USA,IT,Director,1001-5000 employees,35 to 54,61000.0,40000.0,19000.0,41000.0,27000.0,12000.0
194,USA,IT,Director,1001-5000 employees,55+,12000.0,9000.0,2500.0,6700.0,5200.0,1300.0
195,USA,IT,Manager,1001-5000 employees,Any Age Range,130000.0,76000.0,47000.0,59000.0,35000.0,21000.0
196,USA,IT,Manager,1001-5000 employees,18 to 24,6700.0,3500.0,2600.0,1600.0,820.0,700.0
197,USA,IT,Manager,1001-5000 employees,25 to 34,46000.0,25000.0,18000.0,18000.0,9500.0,7600.0
198,USA,IT,Manager,1001-5000 employees,35 to 54,68000.0,41000.0,24000.0,35000.0,22000.0,11000.0
199,USA,IT,Manager,1001-5000 employees,55+,9900.0,7100.0,2500.0,4200.0,3200.0,940.0
200,USA,IT,Senior,1001-5000 employees,Any Age Range,440000.0,250000.0,160000.0,180000.0,110000.0,57000.0
201,USA,IT,Senior,1001-5000 employees,18 to 24,31000.0,15000.0,12000.0,8600.0,4600.0,3500.0
202,USA,IT,Senior,1001-5000 employees,25 to 34,180000.0,96000.0,71000.0,70000.0,41000.0,25000.0
203,USA,IT,Senior,1001-5000 employees,35 to 54,200000.0,120000.0,68000.0,91000.0,60000.0,26000.0
204,USA,IT,Senior,1001-5000 employees,55+,30000.0,21000.0,8400.0,12000.0,8900.0,2500.0
205,USA,IT,Entry,1001-5000 employees,Any Age Range,410000.0,220000.0,150000.0,95000.0,58000.0,29000.0
206,USA,IT,Entry,1001-5000 employees,18 to 24,68000.0,36000.0,24000.0,11000.0,6600.0,3800.0
207,USA,IT,Entry,1001-5000 employees,25 to 34,210000.0,110000.0,81000.0,49000.0,29000.0,16000.0
208,USA,IT,Entry,1001-5000 employees,35 to 54,110000.0,65000.0,39000.0,30000.0,20000.0,8600.0
209,USA,IT,Entry,1001-5000 employees,55+,15000.0,9500.0,4600.0,3300.0,2500.0,730.0
210,USA,IT,Training,1001-5000 employees,Any Age Range,7400.0,3900.0,2600.0,2500.0,1300.0,870.0
211,USA,IT,Training,1001-5000 employees,18 to 24,3000.0,1600.0,1000.0,1200.0,630.0,410.0
212,USA,IT,Training,1001-5000 employees,25 to 34,3700.0,1900.0,1400.0,1200.0,590.0,420.0
213,USA,IT,Training,1001-5000 employees,35 to 54,530.0,0.0,0.0,0.0,0.0,0.0
214,USA,IT,Training,1001-5000 employees,55+,0.0,0.0,0.0,0.0,0.0,0.0
215,USA,IT,Unpaid,1001-5000 employees,Any Age Range,7200.0,3300.0,3200.0,0.0,0.0,0.0
216,USA,IT,Unpaid,1001-5000 employees,18 to 24,660.0,0.0,0.0,0.0,0.0,0.0
217,USA,IT,Unpaid,1001-5000 employees,25 to 34,5200.0,2400.0,2600.0,0.0,0.0,0.0
218,USA,IT,Unpaid,1001-5000 employees,35 to 54,630.0,340.0,0.0,0.0,0.0,0.0
219,USA,IT,Unpaid,1001-5000 employees,55+,510.0,340.0,0.0,0.0,0.0,0.0
220,USA,IT,Any Job Seniority,501-1000 employees,Any Age Range,520000.0,290000.0,190000.0,190000.0,120000.0,58000.0
221,USA,IT,Any Job Seniority,501-1000 employees,18 to 24,48000.0,23000.0,20000.0,12000.0,6300.0,4500.0
222,USA,IT,Any Job Seniority,501-1000 employees,25 to 34,220000.0,120000.0,90000.0,68000.0,39000.0,24000.0
223,USA,IT,Any Job Seniority,501-1000 employees,35 to 54,210000.0,130000.0,69000.0,92000.0,62000.0,26000.0
224,USA,IT,Any Job Seniority,501-1000 employees,55+,35000.0,25000.0,9300.0,14000.0,11000.0,2800.0
225,USA,IT,Owner,501-1000 employees,Any Age Range,23000.0,14000.0,7300.0,9100.0,6400.0,2300.0
226,USA,IT,Owner,501-1000 employees,18 to 24,1400.0,690.0,530.0,510.0,0.0,0.0
227,USA,IT,Owner,501-1000 employees,25 to 34,6300.0,3500.0,2300.0,2100.0,1400.0,650.0
228,USA,IT,Owner,501-1000 employees,35 to 54,12000.0,7700.0,3600.0,5000.0,3600.0,1200.0
229,USA,IT,Owner,501-1000 employees,55+,3400.0,2400.0,870.0,1400.0,1100.0,0.0
230,USA,IT,Partner,501-1000 employees,Any Age Range,9500.0,6800.0,2200.0,6400.0,4800.0,1400.0
231,USA,IT,Partner,501-1000 employees,18 to 24,340.0,0.0,0.0,0.0,0.0,0.0
232,USA,IT,Partner,501-1000 employees,25 to 34,1400.0,880.0,450.0,920.0,610.0,0.0
233,USA,IT,Partner,501-1000 employees,35 to 54,5400.0,4000.0,1200.0,3900.0,2900.0,800.0
234,USA,IT,Partner,501-1000 employees,55+,2100.0,1700.0,350.0,1400.0,1100.0,0.0
235,USA,IT,CXO,501-1000 employees,Any Age Range,17000.0,13000.0,3700.0,9100.0,6900.0,1800.0
236,USA,IT,CXO,501-1000 employees,18 to 24,1000.0,460.0,380.0,370.0,0.0,0.0
237,USA,IT,CXO,501-1000 employees,25 to 34,3100.0,2000.0,870.0,1100.0,700.0,320.0
238,USA,IT,CXO,501-1000 employees,35 to 54,9400.0,7100.0,1900.0,5600.0,4300.0,1100.0
239,USA,IT,CXO,501-1000 employees,55+,3600.0,3000.0,520.0,2000.0,1700.0,0.0
240,USA,IT,VP,501-1000 employees,Any Age Range,21000.0,15000.0,5000.0,13000.0,9500.0,2900.0
241,USA,IT,VP,501-1000 employees,18 to 24,700.0,360.0,0.0,310.0,0.0,0.0
242,USA,IT,VP,501-1000 employees,25 to 34,3100.0,2000.0,920.0,1200.0,800.0,370.0
243,USA,IT,VP,501-1000 employees,35 to 54,14000.0,10000.0,3300.0,9200.0,6800.0,2100.0
244,USA,IT,VP,501-1000 employees,55+,3500.0,2900.0,530.0,2100.0,1700.0,300.0
245,USA,IT,Director,501-1000 employees,Any Age Range,45000.0,28000.0,14000.0,27000.0,18000.0,8000.0
246,USA,IT,Director,501-1000 employees,18 to 24,1500.0,780.0,650.0,720.0,360.0,310.0
247,USA,IT,Director,501-1000 employees,25 to 34,9600.0,5400.0,3700.0,5000.0,2800.0,1900.0
