Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
VNM,Any Gender,Any Company Industry,Any Age Range,Training,1001-5000 employees,7300
VNM,Any Gender,Any Company Industry,Any Age Range,Training,501-1000 employees,5600
VNM,Any Gender,Any Company Industry,Any Age Range,Training,201-500 employees,3600
VNM,Any Gender,Any Company Industry,Any Age Range,Training,51-200 employees,4600
VNM,Any Gender,Any Company Industry,Any Age Range,Training,11-50 employees,5200
VNM,Any Gender,Any Company Industry,Any Age Range,Training,2-10 employees,3400
VNM,Any Gender,Any Company Industry,Any Age Range,Training,Myself Only,1200
VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,Any Company Size,12000
VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,"10,001+ employees",1900
VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,1001-5000 employees,380
VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,501-1000 employees,0
VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,201-500 employees,0
VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,51-200 employees,400
VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,11-50 employees,410
VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,2-10 employees,590
VNM,Any Gender,Any Company Industry,Any Age Range,Unpaid,Myself Only,430
VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,Any Company Size,11000
VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,"10,001+ employees",720
VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,1001-5000 employees,520
VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,501-1000 employees,310
VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,201-500 employees,380
VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,51-200 employees,510
VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,11-50 employees,480
VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,2-10 employees,370
VNM,Any Gender,Any Company Industry,55+,Any Job Seniority,Myself Only,0
VNM,Any Gender,Any Company Industry,55+,Owner,Any Company Size,620
VNM,Any Gender,Any Company Industry,55+,Owner,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,55+,Owner,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,Owner,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,55+,Owner,501-1000 employees,0
VNM,Any Gender,Any Company Industry,55+,Owner,201-500 employees,0
VNM,Any Gender,Any Company Industry,55+,Owner,51-200 employees,0
VNM,Any Gender,Any Company Industry,55+,Owner,11-50 employees,0
VNM,Any Gender,Any Company Industry,55+,Owner,2-10 employees,0
VNM,Any Gender,Any Company Industry,55+,Owner,Myself Only,0
VNM,Any Gender,Any Company Industry,55+,Partner,Any Company Size,0
VNM,Any Gender,Any Company Industry,55+,Partner,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,55+,Partner,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,Partner,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,55+,Partner,501-1000 employees,0
VNM,Any Gender,Any Company Industry,55+,Partner,201-500 employees,0
VNM,Any Gender,Any Company Industry,55+,Partner,51-200 employees,0
VNM,Any Gender,Any Company Industry,55+,Partner,11-50 employees,0
VNM,Any Gender,Any Company Industry,55+,Partner,2-10 employees,0
VNM,Any Gender,Any Company Industry,55+,Partner,Myself Only,0
VNM,Any Gender,Any Company Industry,55+,CXO,Any Company Size,710
VNM,Any Gender,Any Company Industry,55+,CXO,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,55+,CXO,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,CXO,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,55+,CXO,501-1000 employees,0
VNM,Any Gender,Any Company Industry,55+,CXO,201-500 employees,0
VNM,Any Gender,Any Company Industry,55+,CXO,51-200 employees,0
VNM,Any Gender,Any Company Industry,55+,CXO,11-50 employees,0
VNM,Any Gender,Any Company Industry,55+,CXO,2-10 employees,0
VNM,Any Gender,Any Company Industry,55+,CXO,Myself Only,0
VNM,Any Gender,Any Company Industry,55+,VP,Any Company Size,660
VNM,Any Gender,Any Company Industry,55+,VP,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,55+,VP,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,VP,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,55+,VP,501-1000 employees,0
VNM,Any Gender,Any Company Industry,55+,VP,201-500 employees,0
VNM,Any Gender,Any Company Industry,55+,VP,51-200 employees,0
VNM,Any Gender,Any Company Industry,55+,VP,11-50 employees,0
VNM,Any Gender,Any Company Industry,55+,VP,2-10 employees,0
VNM,Any Gender,Any Company Industry,55+,VP,Myself Only,0
VNM,Any Gender,Any Company Industry,55+,Director,Any Company Size,1600
VNM,Any Gender,Any Company Industry,55+,Director,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,55+,Director,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,Director,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,55+,Director,501-1000 employees,0
VNM,Any Gender,Any Company Industry,55+,Director,201-500 employees,0
VNM,Any Gender,Any Company Industry,55+,Director,51-200 employees,0
VNM,Any Gender,Any Company Industry,55+,Director,11-50 employees,0
VNM,Any Gender,Any Company Industry,55+,Director,2-10 employees,0
VNM,Any Gender,Any Company Industry,55+,Director,Myself Only,0
VNM,Any Gender,Any Company Industry,55+,Manager,Any Company Size,920
VNM,Any Gender,Any Company Industry,55+,Manager,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,55+,Manager,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,Manager,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,55+,Manager,501-1000 employees,0
VNM,Any Gender,Any Company Industry,55+,Manager,201-500 employees,0
VNM,Any Gender,Any Company Industry,55+,Manager,51-200 employees,0
VNM,Any Gender,Any Company Industry,55+,Manager,11-50 employees,0
VNM,Any Gender,Any Company Industry,55+,Manager,2-10 employees,0
VNM,Any Gender,Any Company Industry,55+,Manager,Myself Only,0
VNM,Any Gender,Any Company Industry,55+,Senior,Any Company Size,1500
VNM,Any Gender,Any Company Industry,55+,Senior,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,55+,Senior,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,Senior,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,55+,Senior,501-1000 employees,0
VNM,Any Gender,Any Company Industry,55+,Senior,201-500 employees,0
VNM,Any Gender,Any Company Industry,55+,Senior,51-200 employees,0
VNM,Any Gender,Any Company Industry,55+,Senior,11-50 employees,0
VNM,Any Gender,Any Company Industry,55+,Senior,2-10 employees,0
VNM,Any Gender,Any Company Industry,55+,Senior,Myself Only,0
VNM,Any Gender,Any Company Industry,55+,Entry,Any Company Size,1100
VNM,Any Gender,Any Company Industry,55+,Entry,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,55+,Entry,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,Entry,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,55+,Entry,501-1000 employees,0
VNM,Any Gender,Any Company Industry,55+,Entry,201-500 employees,0
VNM,Any Gender,Any Company Industry,55+,Entry,51-200 employees,0
VNM,Any Gender,Any Company Industry,55+,Entry,11-50 employees,0
VNM,Any Gender,Any Company Industry,55+,Entry,2-10 employees,0
VNM,Any Gender,Any Company Industry,55+,Entry,Myself Only,0
VNM,Any Gender,Any Company Industry,55+,Training,Any Company Size,0
VNM,Any Gender,Any Company Industry,55+,Training,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,55+,Training,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,Training,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,55+,Training,501-1000 employees,0
VNM,Any Gender,Any Company Industry,55+,Training,201-500 employees,0
VNM,Any Gender,Any Company Industry,55+,Training,51-200 employees,0
VNM,Any Gender,Any Company Industry,55+,Training,11-50 employees,0
VNM,Any Gender,Any Company Industry,55+,Training,2-10 employees,0
VNM,Any Gender,Any Company Industry,55+,Training,Myself Only,0
VNM,Any Gender,Any Company Industry,55+,Unpaid,Any Company Size,0
VNM,Any Gender,Any Company Industry,55+,Unpaid,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,55+,Unpaid,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,55+,Unpaid,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,55+,Unpaid,501-1000 employees,0
VNM,Any Gender,Any Company Industry,55+,Unpaid,201-500 employees,0
VNM,Any Gender,Any Company Industry,55+,Unpaid,51-200 employees,0
VNM,Any Gender,Any Company Industry,55+,Unpaid,11-50 employees,0
VNM,Any Gender,Any Company Industry,55+,Unpaid,2-10 employees,0
VNM,Any Gender,Any Company Industry,55+,Unpaid,Myself Only,0
VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,Any Company Size,280000
VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,"10,001+ employees",28000
VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,"5001-10,000 employees",7500
VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,1001-5000 employees,16000
VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,501-1000 employees,9400
VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,201-500 employees,11000
VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,51-200 employees,15000
VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,11-50 employees,15000
VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,2-10 employees,8800
VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,Myself Only,1400
VNM,Any Gender,Any Company Industry,35 to 54,Owner,Any Company Size,9700
VNM,Any Gender,Any Company Industry,35 to 54,Owner,"10,001+ employees",360
VNM,Any Gender,Any Company Industry,35 to 54,Owner,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,35 to 54,Owner,1001-5000 employees,350
VNM,Any Gender,Any Company Industry,35 to 54,Owner,501-1000 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Owner,201-500 employees,440
VNM,Any Gender,Any Company Industry,35 to 54,Owner,51-200 employees,900
VNM,Any Gender,Any Company Industry,35 to 54,Owner,11-50 employees,1700
VNM,Any Gender,Any Company Industry,35 to 54,Owner,2-10 employees,1200
VNM,Any Gender,Any Company Industry,35 to 54,Owner,Myself Only,0
VNM,Any Gender,Any Company Industry,35 to 54,Partner,Any Company Size,1700
VNM,Any Gender,Any Company Industry,35 to 54,Partner,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,35 to 54,Partner,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,35 to 54,Partner,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Partner,501-1000 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Partner,201-500 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Partner,51-200 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Partner,11-50 employees,420
VNM,Any Gender,Any Company Industry,35 to 54,Partner,2-10 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Partner,Myself Only,0
VNM,Any Gender,Any Company Industry,35 to 54,CXO,Any Company Size,11000
VNM,Any Gender,Any Company Industry,35 to 54,CXO,"10,001+ employees",610
VNM,Any Gender,Any Company Industry,35 to 54,CXO,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,35 to 54,CXO,1001-5000 employees,690
VNM,Any Gender,Any Company Industry,35 to 54,CXO,501-1000 employees,420
VNM,Any Gender,Any Company Industry,35 to 54,CXO,201-500 employees,700
VNM,Any Gender,Any Company Industry,35 to 54,CXO,51-200 employees,1200
VNM,Any Gender,Any Company Industry,35 to 54,CXO,11-50 employees,1700
VNM,Any Gender,Any Company Industry,35 to 54,CXO,2-10 employees,950
VNM,Any Gender,Any Company Industry,35 to 54,CXO,Myself Only,0
VNM,Any Gender,Any Company Industry,35 to 54,VP,Any Company Size,7700
VNM,Any Gender,Any Company Industry,35 to 54,VP,"10,001+ employees",1000
VNM,Any Gender,Any Company Industry,35 to 54,VP,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,35 to 54,VP,1001-5000 employees,580
VNM,Any Gender,Any Company Industry,35 to 54,VP,501-1000 employees,320
VNM,Any Gender,Any Company Industry,35 to 54,VP,201-500 employees,480
VNM,Any Gender,Any Company Industry,35 to 54,VP,51-200 employees,690
VNM,Any Gender,Any Company Industry,35 to 54,VP,11-50 employees,950
VNM,Any Gender,Any Company Industry,35 to 54,VP,2-10 employees,500
VNM,Any Gender,Any Company Industry,35 to 54,VP,Myself Only,0
VNM,Any Gender,Any Company Industry,35 to 54,Director,Any Company Size,27000
VNM,Any Gender,Any Company Industry,35 to 54,Director,"10,001+ employees",3900
VNM,Any Gender,Any Company Industry,35 to 54,Director,"5001-10,000 employees",1300
VNM,Any Gender,Any Company Industry,35 to 54,Director,1001-5000 employees,2700
VNM,Any Gender,Any Company Industry,35 to 54,Director,501-1000 employees,1600
VNM,Any Gender,Any Company Industry,35 to 54,Director,201-500 employees,1800
VNM,Any Gender,Any Company Industry,35 to 54,Director,51-200 employees,2400
VNM,Any Gender,Any Company Industry,35 to 54,Director,11-50 employees,2400
VNM,Any Gender,Any Company Industry,35 to 54,Director,2-10 employees,1400
VNM,Any Gender,Any Company Industry,35 to 54,Director,Myself Only,0
VNM,Any Gender,Any Company Industry,35 to 54,Manager,Any Company Size,27000
VNM,Any Gender,Any Company Industry,35 to 54,Manager,"10,001+ employees",6000
VNM,Any Gender,Any Company Industry,35 to 54,Manager,"5001-10,000 employees",1500
VNM,Any Gender,Any Company Industry,35 to 54,Manager,1001-5000 employees,3100
VNM,Any Gender,Any Company Industry,35 to 54,Manager,501-1000 employees,1600
VNM,Any Gender,Any Company Industry,35 to 54,Manager,201-500 employees,1600
VNM,Any Gender,Any Company Industry,35 to 54,Manager,51-200 employees,2100
VNM,Any Gender,Any Company Industry,35 to 54,Manager,11-50 employees,1800
VNM,Any Gender,Any Company Industry,35 to 54,Manager,2-10 employees,990
VNM,Any Gender,Any Company Industry,35 to 54,Manager,Myself Only,0
VNM,Any Gender,Any Company Industry,35 to 54,Senior,Any Company Size,53000
VNM,Any Gender,Any Company Industry,35 to 54,Senior,"10,001+ employees",9400
VNM,Any Gender,Any Company Industry,35 to 54,Senior,"5001-10,000 employees",2500
VNM,Any Gender,Any Company Industry,35 to 54,Senior,1001-5000 employees,5500
VNM,Any Gender,Any Company Industry,35 to 54,Senior,501-1000 employees,3100
VNM,Any Gender,Any Company Industry,35 to 54,Senior,201-500 employees,3400
VNM,Any Gender,Any Company Industry,35 to 54,Senior,51-200 employees,4300
VNM,Any Gender,Any Company Industry,35 to 54,Senior,11-50 employees,3400
VNM,Any Gender,Any Company Industry,35 to 54,Senior,2-10 employees,1800
VNM,Any Gender,Any Company Industry,35 to 54,Senior,Myself Only,320
VNM,Any Gender,Any Company Industry,35 to 54,Entry,Any Company Size,47000
VNM,Any Gender,Any Company Industry,35 to 54,Entry,"10,001+ employees",6100
VNM,Any Gender,Any Company Industry,35 to 54,Entry,"5001-10,000 employees",1700
VNM,Any Gender,Any Company Industry,35 to 54,Entry,1001-5000 employees,3300
VNM,Any Gender,Any Company Industry,35 to 54,Entry,501-1000 employees,2000
VNM,Any Gender,Any Company Industry,35 to 54,Entry,201-500 employees,2400
VNM,Any Gender,Any Company Industry,35 to 54,Entry,51-200 employees,3100
VNM,Any Gender,Any Company Industry,35 to 54,Entry,11-50 employees,3100
VNM,Any Gender,Any Company Industry,35 to 54,Entry,2-10 employees,2000
VNM,Any Gender,Any Company Industry,35 to 54,Entry,Myself Only,440
VNM,Any Gender,Any Company Industry,35 to 54,Training,Any Company Size,1300
VNM,Any Gender,Any Company Industry,35 to 54,Training,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,35 to 54,Training,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,35 to 54,Training,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Training,501-1000 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Training,201-500 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Training,51-200 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Training,11-50 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Training,2-10 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Training,Myself Only,0
VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,Any Company Size,720
VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,501-1000 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,201-500 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,51-200 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,11-50 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,2-10 employees,0
VNM,Any Gender,Any Company Industry,35 to 54,Unpaid,Myself Only,0
VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,Any Company Size,2500000
VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,"10,001+ employees",140000
VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,"5001-10,000 employees",33000
VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,1001-5000 employees,78000
VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,501-1000 employees,56000
VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,201-500 employees,59000
VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,51-200 employees,81000
VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,11-50 employees,93000
VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,2-10 employees,67000
VNM,Any Gender,Any Company Industry,25 to 34,Any Job Seniority,Myself Only,12000
VNM,Any Gender,Any Company Industry,25 to 34,Owner,Any Company Size,25000
VNM,Any Gender,Any Company Industry,25 to 34,Owner,"10,001+ employees",1700
VNM,Any Gender,Any Company Industry,25 to 34,Owner,"5001-10,000 employees",310
VNM,Any Gender,Any Company Industry,25 to 34,Owner,1001-5000 employees,1200
VNM,Any Gender,Any Company Industry,25 to 34,Owner,501-1000 employees,470
VNM,Any Gender,Any Company Industry,25 to 34,Owner,201-500 employees,730
VNM,Any Gender,Any Company Industry,25 to 34,Owner,51-200 employees,1300
VNM,Any Gender,Any Company Industry,25 to 34,Owner,11-50 employees,2600
VNM,Any Gender,Any Company Industry,25 to 34,Owner,2-10 employees,2600
VNM,Any Gender,Any Company Industry,25 to 34,Owner,Myself Only,0
VNM,Any Gender,Any Company Industry,25 to 34,Partner,Any Company Size,2000
VNM,Any Gender,Any Company Industry,25 to 34,Partner,"10,001+ employees",0
VNM,Any Gender,Any Company Industry,25 to 34,Partner,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,25 to 34,Partner,1001-5000 employees,0
VNM,Any Gender,Any Company Industry,25 to 34,Partner,501-1000 employees,0
VNM,Any Gender,Any Company Industry,25 to 34,Partner,201-500 employees,0
VNM,Any Gender,Any Company Industry,25 to 34,Partner,51-200 employees,0
VNM,Any Gender,Any Company Industry,25 to 34,Partner,11-50 employees,310
VNM,Any Gender,Any Company Industry,25 to 34,Partner,2-10 employees,0
VNM,Any Gender,Any Company Industry,25 to 34,Partner,Myself Only,0
VNM,Any Gender,Any Company Industry,25 to 34,CXO,Any Company Size,22000
VNM,Any Gender,Any Company Industry,25 to 34,CXO,"10,001+ employees",1200
VNM,Any Gender,Any Company Industry,25 to 34,CXO,"5001-10,000 employees",0
VNM,Any Gender,Any Company Industry,25 to 34,CXO,1001-5000 employees,730
VNM,Any Gender,Any Company Industry,25 to 34,CXO,501-1000 employees,520
