Country,Gender,Age Range,Job seniority,Company Industry,Company Size,Count
US,Male,55+,Partner,Insurance,1001-5000 employees,600
US,Male,55+,Partner,Insurance,501-1000 employees,340
US,Male,55+,Partner,Insurance,201-500 employees,520
US,Male,55+,Partner,Insurance,51-200 employees,930
US,Male,55+,Partner,Insurance,11-50 employees,1500
US,Male,55+,Partner,Insurance,2-10 employees,1400
US,Male,55+,Partner,Insurance,Myself Only,0
US,Male,55+,Partner,Financial Services,"10,001+ employees",2000
US,Male,55+,Partner,Financial Services,"5001-10,000 employees",570
US,Male,55+,Partner,Financial Services,1001-5000 employees,1500
US,Male,55+,Partner,Financial Services,501-1000 employees,920
US,Male,55+,Partner,Financial Services,201-500 employees,1500
US,Male,55+,Partner,Financial Services,51-200 employees,2900
US,Male,55+,Partner,Financial Services,11-50 employees,4500
US,Male,55+,Partner,Financial Services,2-10 employees,4900
US,Male,55+,Partner,Financial Services,Myself Only,0
US,Male,55+,Partner,Capital Markets,"10,001+ employees",0
US,Male,55+,Partner,Capital Markets,"5001-10,000 employees",0
US,Male,55+,Partner,Capital Markets,1001-5000 employees,0
US,Male,55+,Partner,Capital Markets,501-1000 employees,0
US,Male,55+,Partner,Capital Markets,201-500 employees,0
US,Male,55+,Partner,Capital Markets,51-200 employees,0
US,Male,55+,Partner,Capital Markets,11-50 employees,0
US,Male,55+,Partner,Capital Markets,2-10 employees,0
US,Male,55+,Partner,Capital Markets,Myself Only,0
US,Male,55+,Partner,Banking,"10,001+ employees",490
US,Male,55+,Partner,Banking,"5001-10,000 employees",0
US,Male,55+,Partner,Banking,1001-5000 employees,530
US,Male,55+,Partner,Banking,501-1000 employees,340
US,Male,55+,Partner,Banking,201-500 employees,570
US,Male,55+,Partner,Banking,51-200 employees,920
US,Male,55+,Partner,Banking,11-50 employees,900
US,Male,55+,Partner,Banking,2-10 employees,820
US,Male,55+,Partner,Banking,Myself Only,0
US,Male,55+,Partner,Consumer Electronics,"10,001+ employees",0
US,Male,55+,Partner,Consumer Electronics,"5001-10,000 employees",0
US,Male,55+,Partner,Consumer Electronics,1001-5000 employees,0
US,Male,55+,Partner,Consumer Electronics,501-1000 employees,0
US,Male,55+,Partner,Consumer Electronics,201-500 employees,0
US,Male,55+,Partner,Consumer Electronics,51-200 employees,0
US,Male,55+,Partner,Consumer Electronics,11-50 employees,0
US,Male,55+,Partner,Consumer Electronics,2-10 employees,0
US,Male,55+,Partner,Consumer Electronics,Myself Only,0
US,Male,55+,Partner,Nanotechnology,"10,001+ employees",0
US,Male,55+,Partner,Nanotechnology,"5001-10,000 employees",0
US,Male,55+,Partner,Nanotechnology,1001-5000 employees,0
US,Male,55+,Partner,Nanotechnology,501-1000 employees,0
US,Male,55+,Partner,Nanotechnology,201-500 employees,0
US,Male,55+,Partner,Nanotechnology,51-200 employees,0
US,Male,55+,Partner,Nanotechnology,11-50 employees,0
US,Male,55+,Partner,Nanotechnology,2-10 employees,0
US,Male,55+,Partner,Nanotechnology,Myself Only,0
US,Male,55+,Partner,Semiconductors,"10,001+ employees",0
US,Male,55+,Partner,Semiconductors,"5001-10,000 employees",0
US,Male,55+,Partner,Semiconductors,1001-5000 employees,0
US,Male,55+,Partner,Semiconductors,501-1000 employees,0
US,Male,55+,Partner,Semiconductors,201-500 employees,0
US,Male,55+,Partner,Semiconductors,51-200 employees,0
US,Male,55+,Partner,Semiconductors,11-50 employees,310
US,Male,55+,Partner,Semiconductors,2-10 employees,0
US,Male,55+,Partner,Semiconductors,Myself Only,0
US,Male,55+,Partner,Telecommunications,"10,001+ employees",340
US,Male,55+,Partner,Telecommunications,"5001-10,000 employees",0
US,Male,55+,Partner,Telecommunications,1001-5000 employees,0
US,Male,55+,Partner,Telecommunications,501-1000 employees,0
US,Male,55+,Partner,Telecommunications,201-500 employees,0
US,Male,55+,Partner,Telecommunications,51-200 employees,500
US,Male,55+,Partner,Telecommunications,11-50 employees,750
US,Male,55+,Partner,Telecommunications,2-10 employees,730
US,Male,55+,Partner,Telecommunications,Myself Only,0
US,Male,55+,Partner,Wireless,"10,001+ employees",0
US,Male,55+,Partner,Wireless,"5001-10,000 employees",0
US,Male,55+,Partner,Wireless,1001-5000 employees,0
US,Male,55+,Partner,Wireless,501-1000 employees,0
US,Male,55+,Partner,Wireless,201-500 employees,0
US,Male,55+,Partner,Wireless,51-200 employees,0
US,Male,55+,Partner,Wireless,11-50 employees,0
US,Male,55+,Partner,Wireless,2-10 employees,0
US,Male,55+,Partner,Wireless,Myself Only,0
US,Male,55+,Partner,Computer Networking,"10,001+ employees",0
US,Male,55+,Partner,Computer Networking,"5001-10,000 employees",0
US,Male,55+,Partner,Computer Networking,1001-5000 employees,0
US,Male,55+,Partner,Computer Networking,501-1000 employees,0
US,Male,55+,Partner,Computer Networking,201-500 employees,0
US,Male,55+,Partner,Computer Networking,51-200 employees,0
US,Male,55+,Partner,Computer Networking,11-50 employees,0
US,Male,55+,Partner,Computer Networking,2-10 employees,0
US,Male,55+,Partner,Computer Networking,Myself Only,0
US,Male,55+,Partner,Computer Hardware,"10,001+ employees",0
US,Male,55+,Partner,Computer Hardware,"5001-10,000 employees",0
US,Male,55+,Partner,Computer Hardware,1001-5000 employees,0
US,Male,55+,Partner,Computer Hardware,501-1000 employees,0
US,Male,55+,Partner,Computer Hardware,201-500 employees,0
US,Male,55+,Partner,Computer Hardware,51-200 employees,0
US,Male,55+,Partner,Computer Hardware,11-50 employees,0
US,Male,55+,Partner,Computer Hardware,2-10 employees,0
US,Male,55+,Partner,Computer Hardware,Myself Only,0
US,Male,55+,Partner,Computer & Network Security,"10,001+ employees",610
US,Male,55+,Partner,Computer & Network Security,"5001-10,000 employees",0
US,Male,55+,Partner,Computer & Network Security,1001-5000 employees,0
US,Male,55+,Partner,Computer & Network Security,501-1000 employees,0
US,Male,55+,Partner,Computer & Network Security,201-500 employees,0
US,Male,55+,Partner,Computer & Network Security,51-200 employees,470
US,Male,55+,Partner,Computer & Network Security,11-50 employees,650
US,Male,55+,Partner,Computer & Network Security,2-10 employees,550
US,Male,55+,Partner,Computer & Network Security,Myself Only,0
US,Male,55+,Partner,Computer Software,"10,001+ employees",1400
US,Male,55+,Partner,Computer Software,"5001-10,000 employees",390
US,Male,55+,Partner,Computer Software,1001-5000 employees,1100
US,Male,55+,Partner,Computer Software,501-1000 employees,700
US,Male,55+,Partner,Computer Software,201-500 employees,1300
US,Male,55+,Partner,Computer Software,51-200 employees,2500
US,Male,55+,Partner,Computer Software,11-50 employees,3800
US,Male,55+,Partner,Computer Software,2-10 employees,3300
US,Male,55+,Partner,Computer Software,Myself Only,0
US,Male,55+,Partner,Information Technology & Services,"10,001+ employees",2200
US,Male,55+,Partner,Information Technology & Services,"5001-10,000 employees",570
US,Male,55+,Partner,Information Technology & Services,1001-5000 employees,1400
US,Male,55+,Partner,Information Technology & Services,501-1000 employees,920
US,Male,55+,Partner,Information Technology & Services,201-500 employees,1600
US,Male,55+,Partner,Information Technology & Services,51-200 employees,3100
US,Male,55+,Partner,Information Technology & Services,11-50 employees,4900
US,Male,55+,Partner,Information Technology & Services,2-10 employees,4600
US,Male,55+,Partner,Information Technology & Services,Myself Only,340
US,Male,55+,Partner,Internet,"10,001+ employees",550
US,Male,55+,Partner,Internet,"5001-10,000 employees",0
US,Male,55+,Partner,Internet,1001-5000 employees,490
US,Male,55+,Partner,Internet,501-1000 employees,340
US,Male,55+,Partner,Internet,201-500 employees,610
US,Male,55+,Partner,Internet,51-200 employees,1200
US,Male,55+,Partner,Internet,11-50 employees,1700
US,Male,55+,Partner,Internet,2-10 employees,1700
US,Male,55+,Partner,Internet,Myself Only,0
US,Male,55+,CXO,Venture Capital & Private Equity,"10,001+ employees",440
US,Male,55+,CXO,Venture Capital & Private Equity,"5001-10,000 employees",0
US,Male,55+,CXO,Venture Capital & Private Equity,1001-5000 employees,480
US,Male,55+,CXO,Venture Capital & Private Equity,501-1000 employees,370
US,Male,55+,CXO,Venture Capital & Private Equity,201-500 employees,690
US,Male,55+,CXO,Venture Capital & Private Equity,51-200 employees,1500
US,Male,55+,CXO,Venture Capital & Private Equity,11-50 employees,2500
US,Male,55+,CXO,Venture Capital & Private Equity,2-10 employees,2800
US,Male,55+,CXO,Venture Capital & Private Equity,Myself Only,0
US,Male,55+,CXO,Investment Management,"10,001+ employees",850
US,Male,55+,CXO,Investment Management,"5001-10,000 employees",0
US,Male,55+,CXO,Investment Management,1001-5000 employees,600
US,Male,55+,CXO,Investment Management,501-1000 employees,340
US,Male,55+,CXO,Investment Management,201-500 employees,560
US,Male,55+,CXO,Investment Management,51-200 employees,1200
US,Male,55+,CXO,Investment Management,11-50 employees,2400
US,Male,55+,CXO,Investment Management,2-10 employees,3100
US,Male,55+,CXO,Investment Management,Myself Only,0
US,Male,55+,CXO,Investment Banking,"10,001+ employees",0
US,Male,55+,CXO,Investment Banking,"5001-10,000 employees",0
US,Male,55+,CXO,Investment Banking,1001-5000 employees,0
US,Male,55+,CXO,Investment Banking,501-1000 employees,0
US,Male,55+,CXO,Investment Banking,201-500 employees,0
US,Male,55+,CXO,Investment Banking,51-200 employees,400
US,Male,55+,CXO,Investment Banking,11-50 employees,920
US,Male,55+,CXO,Investment Banking,2-10 employees,1100
US,Male,55+,CXO,Investment Banking,Myself Only,0
US,Male,55+,CXO,Insurance,"10,001+ employees",1700
US,Male,55+,CXO,Insurance,"5001-10,000 employees",640
US,Male,55+,CXO,Insurance,1001-5000 employees,1400
US,Male,55+,CXO,Insurance,501-1000 employees,750
US,Male,55+,CXO,Insurance,201-500 employees,1100
US,Male,55+,CXO,Insurance,51-200 employees,2100
US,Male,55+,CXO,Insurance,11-50 employees,4300
US,Male,55+,CXO,Insurance,2-10 employees,5300
US,Male,55+,CXO,Insurance,Myself Only,0
US,Male,55+,CXO,Financial Services,"10,001+ employees",3300
US,Male,55+,CXO,Financial Services,"5001-10,000 employees",850
US,Male,55+,CXO,Financial Services,1001-5000 employees,2600
US,Male,55+,CXO,Financial Services,501-1000 employees,1500
US,Male,55+,CXO,Financial Services,201-500 employees,2500
US,Male,55+,CXO,Financial Services,51-200 employees,4600
US,Male,55+,CXO,Financial Services,11-50 employees,8000
US,Male,55+,CXO,Financial Services,2-10 employees,11000
US,Male,55+,CXO,Financial Services,Myself Only,580
US,Male,55+,CXO,Capital Markets,"10,001+ employees",0
US,Male,55+,CXO,Capital Markets,"5001-10,000 employees",0
US,Male,55+,CXO,Capital Markets,1001-5000 employees,0
US,Male,55+,CXO,Capital Markets,501-1000 employees,0
US,Male,55+,CXO,Capital Markets,201-500 employees,0
US,Male,55+,CXO,Capital Markets,51-200 employees,0
US,Male,55+,CXO,Capital Markets,11-50 employees,0
US,Male,55+,CXO,Capital Markets,2-10 employees,390
US,Male,55+,CXO,Capital Markets,Myself Only,0
US,Male,55+,CXO,Banking,"10,001+ employees",1100
US,Male,55+,CXO,Banking,"5001-10,000 employees",0
US,Male,55+,CXO,Banking,1001-5000 employees,1200
US,Male,55+,CXO,Banking,501-1000 employees,820
US,Male,55+,CXO,Banking,201-500 employees,1500
US,Male,55+,CXO,Banking,51-200 employees,2500
US,Male,55+,CXO,Banking,11-50 employees,2000
US,Male,55+,CXO,Banking,2-10 employees,1400
US,Male,55+,CXO,Banking,Myself Only,0
US,Male,55+,CXO,Consumer Electronics,"10,001+ employees",0
US,Male,55+,CXO,Consumer Electronics,"5001-10,000 employees",0
US,Male,55+,CXO,Consumer Electronics,1001-5000 employees,0
US,Male,55+,CXO,Consumer Electronics,501-1000 employees,0
US,Male,55+,CXO,Consumer Electronics,201-500 employees,0
US,Male,55+,CXO,Consumer Electronics,51-200 employees,330
US,Male,55+,CXO,Consumer Electronics,11-50 employees,640
US,Male,55+,CXO,Consumer Electronics,2-10 employees,840
US,Male,55+,CXO,Consumer Electronics,Myself Only,0
US,Male,55+,CXO,Nanotechnology,"10,001+ employees",0
US,Male,55+,CXO,Nanotechnology,"5001-10,000 employees",0
US,Male,55+,CXO,Nanotechnology,1001-5000 employees,0
US,Male,55+,CXO,Nanotechnology,501-1000 employees,0
US,Male,55+,CXO,Nanotechnology,201-500 employees,0
US,Male,55+,CXO,Nanotechnology,51-200 employees,0
US,Male,55+,CXO,Nanotechnology,11-50 employees,0
US,Male,55+,CXO,Nanotechnology,2-10 employees,0
US,Male,55+,CXO,Nanotechnology,Myself Only,0
US,Male,55+,CXO,Semiconductors,"10,001+ employees",370
US,Male,55+,CXO,Semiconductors,"5001-10,000 employees",0
US,Male,55+,CXO,Semiconductors,1001-5000 employees,0
US,Male,55+,CXO,Semiconductors,501-1000 employees,0
US,Male,55+,CXO,Semiconductors,201-500 employees,0
US,Male,55+,CXO,Semiconductors,51-200 employees,330
US,Male,55+,CXO,Semiconductors,11-50 employees,560
US,Male,55+,CXO,Semiconductors,2-10 employees,540
US,Male,55+,CXO,Semiconductors,Myself Only,0
US,Male,55+,CXO,Telecommunications,"10,001+ employees",820
US,Male,55+,CXO,Telecommunications,"5001-10,000 employees",0
US,Male,55+,CXO,Telecommunications,1001-5000 employees,600
US,Male,55+,CXO,Telecommunications,501-1000 employees,350
US,Male,55+,CXO,Telecommunications,201-500 employees,550
US,Male,55+,CXO,Telecommunications,51-200 employees,1300
US,Male,55+,CXO,Telecommunications,11-50 employees,2200
US,Male,55+,CXO,Telecommunications,2-10 employees,2300
US,Male,55+,CXO,Telecommunications,Myself Only,0
US,Male,55+,CXO,Wireless,"10,001+ employees",0
US,Male,55+,CXO,Wireless,"5001-10,000 employees",0
US,Male,55+,CXO,Wireless,1001-5000 employees,0
US,Male,55+,CXO,Wireless,501-1000 employees,0
US,Male,55+,CXO,Wireless,201-500 employees,0
US,Male,55+,CXO,Wireless,51-200 employees,0
US,Male,55+,CXO,Wireless,11-50 employees,420
US,Male,55+,CXO,Wireless,2-10 employees,380
US,Male,55+,CXO,Wireless,Myself Only,0
US,Male,55+,CXO,Computer Networking,"10,001+ employees",0
US,Male,55+,CXO,Computer Networking,"5001-10,000 employees",0
US,Male,55+,CXO,Computer Networking,1001-5000 employees,0
US,Male,55+,CXO,Computer Networking,501-1000 employees,0
US,Male,55+,CXO,Computer Networking,201-500 employees,0
US,Male,55+,CXO,Computer Networking,51-200 employees,0
US,Male,55+,CXO,Computer Networking,11-50 employees,400
US,Male,55+,CXO,Computer Networking,2-10 employees,580
US,Male,55+,CXO,Computer Networking,Myself Only,0
US,Male,55+,CXO,Computer Hardware,"10,001+ employees",0
US,Male,55+,CXO,Computer Hardware,"5001-10,000 employees",0
US,Male,55+,CXO,Computer Hardware,1001-5000 employees,0
US,Male,55+,CXO,Computer Hardware,501-1000 employees,0
US,Male,55+,CXO,Computer Hardware,201-500 employees,0
US,Male,55+,CXO,Computer Hardware,51-200 employees,0
US,Male,55+,CXO,Computer Hardware,11-50 employees,460
US,Male,55+,CXO,Computer Hardware,2-10 employees,510
US,Male,55+,CXO,Computer Hardware,Myself Only,0
US,Male,55+,CXO,Computer & Network Security,"10,001+ employees",1000
US,Male,55+,CXO,Computer & Network Security,"5001-10,000 employees",0
US,Male,55+,CXO,Computer & Network Security,1001-5000 employees,0
US,Male,55+,CXO,Computer & Network Security,501-1000 employees,0
US,Male,55+,CXO,Computer & Network Security,201-500 employees,0
US,Male,55+,CXO,Computer & Network Security,51-200 employees,590
US,Male,55+,CXO,Computer & Network Security,11-50 employees,930
US,Male,55+,CXO,Computer & Network Security,2-10 employees,950
US,Male,55+,CXO,Computer & Network Security,Myself Only,0
US,Male,55+,CXO,Computer Software,"10,001+ employees",2300
US,Male,55+,CXO,Computer Software,"5001-10,000 employees",520
US,Male,55+,CXO,Computer Software,1001-5000 employees,1600
US,Male,55+,CXO,Computer Software,501-1000 employees,940
US,Male,55+,CXO,Computer Software,201-500 employees,1700
US,Male,55+,CXO,Computer Software,51-200 employees,4100
US,Male,55+,CXO,Computer Software,11-50 employees,7300
US,Male,55+,CXO,Computer Software,2-10 employees,7200
US,Male,55+,CXO,Computer Software,Myself Only,510
US,Male,55+,CXO,Information Technology & Services,"10,001+ employees",3900
US,Male,55+,CXO,Information Technology & Services,"5001-10,000 employees",900
US,Male,55+,CXO,Information Technology & Services,1001-5000 employees,2200
US,Male,55+,CXO,Information Technology & Services,501-1000 employees,1600
US,Male,55+,CXO,Information Technology & Services,201-500 employees,2900
US,Male,55+,CXO,Information Technology & Services,51-200 employees,6200
US,Male,55+,CXO,Information Technology & Services,11-50 employees,10000
US,Male,55+,CXO,Information Technology & Services,2-10 employees,11000
