Company Industry,Country,Gender,Age Range,Job seniority,Company Size,Count
Finance,PHL,Male,35 to 54,Entry,"10,001+ employees",2400
Finance,PHL,Male,35 to 54,Entry,"5001-10,000 employees",770
Finance,PHL,Male,35 to 54,Entry,1001-5000 employees,890
Finance,PHL,Male,35 to 54,Entry,501-1000 employees,330
Finance,PHL,Male,35 to 54,Entry,201-500 employees,0
Finance,PHL,Male,35 to 54,Entry,51-200 employees,360
Finance,PHL,Male,35 to 54,Entry,11-50 employees,0
Finance,PHL,Male,35 to 54,Entry,2-10 employees,0
Finance,PHL,Male,35 to 54,Entry,Myself Only,0
Finance,PHL,Male,35 to 54,Training,"10,001+ employees",0
Finance,PHL,Male,35 to 54,Training,"5001-10,000 employees",0
Finance,PHL,Male,35 to 54,Training,1001-5000 employees,0
Finance,PHL,Male,35 to 54,Training,501-1000 employees,0
Finance,PHL,Male,35 to 54,Training,201-500 employees,0
Finance,PHL,Male,35 to 54,Training,51-200 employees,0
Finance,PHL,Male,35 to 54,Training,11-50 employees,0
Finance,PHL,Male,35 to 54,Training,2-10 employees,0
Finance,PHL,Male,35 to 54,Training,Myself Only,0
Finance,PHL,Male,35 to 54,Unpaid,"10,001+ employees",0
Finance,PHL,Male,35 to 54,Unpaid,"5001-10,000 employees",0
Finance,PHL,Male,35 to 54,Unpaid,1001-5000 employees,0
Finance,PHL,Male,35 to 54,Unpaid,501-1000 employees,0
Finance,PHL,Male,35 to 54,Unpaid,201-500 employees,0
Finance,PHL,Male,35 to 54,Unpaid,51-200 employees,0
Finance,PHL,Male,35 to 54,Unpaid,11-50 employees,0
Finance,PHL,Male,35 to 54,Unpaid,2-10 employees,0
Finance,PHL,Male,35 to 54,Unpaid,Myself Only,0
Finance,PHL,Male,25 to 34,Owner,"10,001+ employees",0
Finance,PHL,Male,25 to 34,Owner,"5001-10,000 employees",0
Finance,PHL,Male,25 to 34,Owner,1001-5000 employees,0
Finance,PHL,Male,25 to 34,Owner,501-1000 employees,0
Finance,PHL,Male,25 to 34,Owner,201-500 employees,0
Finance,PHL,Male,25 to 34,Owner,51-200 employees,0
Finance,PHL,Male,25 to 34,Owner,11-50 employees,0
Finance,PHL,Male,25 to 34,Owner,2-10 employees,0
Finance,PHL,Male,25 to 34,Owner,Myself Only,0
Finance,PHL,Male,25 to 34,Partner,"10,001+ employees",0
Finance,PHL,Male,25 to 34,Partner,"5001-10,000 employees",0
Finance,PHL,Male,25 to 34,Partner,1001-5000 employees,0
Finance,PHL,Male,25 to 34,Partner,501-1000 employees,0
Finance,PHL,Male,25 to 34,Partner,201-500 employees,0
Finance,PHL,Male,25 to 34,Partner,51-200 employees,0
Finance,PHL,Male,25 to 34,Partner,11-50 employees,0
Finance,PHL,Male,25 to 34,Partner,2-10 employees,0
Finance,PHL,Male,25 to 34,Partner,Myself Only,0
Finance,PHL,Male,25 to 34,CXO,"10,001+ employees",0
Finance,PHL,Male,25 to 34,CXO,"5001-10,000 employees",0
Finance,PHL,Male,25 to 34,CXO,1001-5000 employees,0
Finance,PHL,Male,25 to 34,CXO,501-1000 employees,0
Finance,PHL,Male,25 to 34,CXO,201-500 employees,0
Finance,PHL,Male,25 to 34,CXO,51-200 employees,0
Finance,PHL,Male,25 to 34,CXO,11-50 employees,0
Finance,PHL,Male,25 to 34,CXO,2-10 employees,0
Finance,PHL,Male,25 to 34,CXO,Myself Only,0
Finance,PHL,Male,25 to 34,VP,"10,001+ employees",340
Finance,PHL,Male,25 to 34,VP,"5001-10,000 employees",0
Finance,PHL,Male,25 to 34,VP,1001-5000 employees,0
Finance,PHL,Male,25 to 34,VP,501-1000 employees,0
Finance,PHL,Male,25 to 34,VP,201-500 employees,0
Finance,PHL,Male,25 to 34,VP,51-200 employees,0
Finance,PHL,Male,25 to 34,VP,11-50 employees,0
Finance,PHL,Male,25 to 34,VP,2-10 employees,0
Finance,PHL,Male,25 to 34,VP,Myself Only,0
Finance,PHL,Male,25 to 34,Director,"10,001+ employees",570
Finance,PHL,Male,25 to 34,Director,"5001-10,000 employees",0
Finance,PHL,Male,25 to 34,Director,1001-5000 employees,490
Finance,PHL,Male,25 to 34,Director,501-1000 employees,0
Finance,PHL,Male,25 to 34,Director,201-500 employees,0
Finance,PHL,Male,25 to 34,Director,51-200 employees,0
Finance,PHL,Male,25 to 34,Director,11-50 employees,0
Finance,PHL,Male,25 to 34,Director,2-10 employees,0
Finance,PHL,Male,25 to 34,Director,Myself Only,0
Finance,PHL,Male,25 to 34,Manager,"10,001+ employees",1600
Finance,PHL,Male,25 to 34,Manager,"5001-10,000 employees",540
Finance,PHL,Male,25 to 34,Manager,1001-5000 employees,1000
Finance,PHL,Male,25 to 34,Manager,501-1000 employees,610
Finance,PHL,Male,25 to 34,Manager,201-500 employees,340
Finance,PHL,Male,25 to 34,Manager,51-200 employees,410
Finance,PHL,Male,25 to 34,Manager,11-50 employees,350
Finance,PHL,Male,25 to 34,Manager,2-10 employees,310
Finance,PHL,Male,25 to 34,Manager,Myself Only,0
Finance,PHL,Male,25 to 34,Senior,"10,001+ employees",9500
Finance,PHL,Male,25 to 34,Senior,"5001-10,000 employees",2100
Finance,PHL,Male,25 to 34,Senior,1001-5000 employees,3500
Finance,PHL,Male,25 to 34,Senior,501-1000 employees,3500
Finance,PHL,Male,25 to 34,Senior,201-500 employees,970
Finance,PHL,Male,25 to 34,Senior,51-200 employees,1700
Finance,PHL,Male,25 to 34,Senior,11-50 employees,1200
Finance,PHL,Male,25 to 34,Senior,2-10 employees,860
Finance,PHL,Male,25 to 34,Senior,Myself Only,0
Finance,PHL,Male,25 to 34,Entry,"10,001+ employees",8200
Finance,PHL,Male,25 to 34,Entry,"5001-10,000 employees",3300
Finance,PHL,Male,25 to 34,Entry,1001-5000 employees,3900
Finance,PHL,Male,25 to 34,Entry,501-1000 employees,1600
Finance,PHL,Male,25 to 34,Entry,201-500 employees,1200
Finance,PHL,Male,25 to 34,Entry,51-200 employees,2100
Finance,PHL,Male,25 to 34,Entry,11-50 employees,1700
Finance,PHL,Male,25 to 34,Entry,2-10 employees,1600
Finance,PHL,Male,25 to 34,Entry,Myself Only,0
Finance,PHL,Male,25 to 34,Training,"10,001+ employees",0
Finance,PHL,Male,25 to 34,Training,"5001-10,000 employees",0
Finance,PHL,Male,25 to 34,Training,1001-5000 employees,0
Finance,PHL,Male,25 to 34,Training,501-1000 employees,0
Finance,PHL,Male,25 to 34,Training,201-500 employees,0
Finance,PHL,Male,25 to 34,Training,51-200 employees,0
Finance,PHL,Male,25 to 34,Training,11-50 employees,0
Finance,PHL,Male,25 to 34,Training,2-10 employees,0
Finance,PHL,Male,25 to 34,Training,Myself Only,0
Finance,PHL,Male,25 to 34,Unpaid,"10,001+ employees",0
Finance,PHL,Male,25 to 34,Unpaid,"5001-10,000 employees",0
Finance,PHL,Male,25 to 34,Unpaid,1001-5000 employees,0
Finance,PHL,Male,25 to 34,Unpaid,501-1000 employees,0
Finance,PHL,Male,25 to 34,Unpaid,201-500 employees,0
Finance,PHL,Male,25 to 34,Unpaid,51-200 employees,0
Finance,PHL,Male,25 to 34,Unpaid,11-50 employees,0
Finance,PHL,Male,25 to 34,Unpaid,2-10 employees,0
Finance,PHL,Male,25 to 34,Unpaid,Myself Only,0
Finance,PHL,Male,18 to 24,Owner,"10,001+ employees",0
Finance,PHL,Male,18 to 24,Owner,"5001-10,000 employees",0
Finance,PHL,Male,18 to 24,Owner,1001-5000 employees,0
Finance,PHL,Male,18 to 24,Owner,501-1000 employees,0
Finance,PHL,Male,18 to 24,Owner,201-500 employees,0
Finance,PHL,Male,18 to 24,Owner,51-200 employees,0
Finance,PHL,Male,18 to 24,Owner,11-50 employees,0
Finance,PHL,Male,18 to 24,Owner,2-10 employees,0
Finance,PHL,Male,18 to 24,Owner,Myself Only,0
Finance,PHL,Male,18 to 24,Partner,"10,001+ employees",0
Finance,PHL,Male,18 to 24,Partner,"5001-10,000 employees",0
Finance,PHL,Male,18 to 24,Partner,1001-5000 employees,0
Finance,PHL,Male,18 to 24,Partner,501-1000 employees,0
Finance,PHL,Male,18 to 24,Partner,201-500 employees,0
Finance,PHL,Male,18 to 24,Partner,51-200 employees,0
Finance,PHL,Male,18 to 24,Partner,11-50 employees,0
Finance,PHL,Male,18 to 24,Partner,2-10 employees,0
Finance,PHL,Male,18 to 24,Partner,Myself Only,0
Finance,PHL,Male,18 to 24,CXO,"10,001+ employees",0
Finance,PHL,Male,18 to 24,CXO,"5001-10,000 employees",0
Finance,PHL,Male,18 to 24,CXO,1001-5000 employees,0
Finance,PHL,Male,18 to 24,CXO,501-1000 employees,0
Finance,PHL,Male,18 to 24,CXO,201-500 employees,0
Finance,PHL,Male,18 to 24,CXO,51-200 employees,0
Finance,PHL,Male,18 to 24,CXO,11-50 employees,0
Finance,PHL,Male,18 to 24,CXO,2-10 employees,0
Finance,PHL,Male,18 to 24,CXO,Myself Only,0
Finance,PHL,Male,18 to 24,VP,"10,001+ employees",0
Finance,PHL,Male,18 to 24,VP,"5001-10,000 employees",0
Finance,PHL,Male,18 to 24,VP,1001-5000 employees,0
Finance,PHL,Male,18 to 24,VP,501-1000 employees,0
Finance,PHL,Male,18 to 24,VP,201-500 employees,0
Finance,PHL,Male,18 to 24,VP,51-200 employees,0
Finance,PHL,Male,18 to 24,VP,11-50 employees,0
Finance,PHL,Male,18 to 24,VP,2-10 employees,0
Finance,PHL,Male,18 to 24,VP,Myself Only,0
Finance,PHL,Male,18 to 24,Director,"10,001+ employees",0
Finance,PHL,Male,18 to 24,Director,"5001-10,000 employees",0
Finance,PHL,Male,18 to 24,Director,1001-5000 employees,0
Finance,PHL,Male,18 to 24,Director,501-1000 employees,0
Finance,PHL,Male,18 to 24,Director,201-500 employees,0
Finance,PHL,Male,18 to 24,Director,51-200 employees,0
Finance,PHL,Male,18 to 24,Director,11-50 employees,0
Finance,PHL,Male,18 to 24,Director,2-10 employees,0
Finance,PHL,Male,18 to 24,Director,Myself Only,0
Finance,PHL,Male,18 to 24,Manager,"10,001+ employees",0
Finance,PHL,Male,18 to 24,Manager,"5001-10,000 employees",0
Finance,PHL,Male,18 to 24,Manager,1001-5000 employees,0
Finance,PHL,Male,18 to 24,Manager,501-1000 employees,0
Finance,PHL,Male,18 to 24,Manager,201-500 employees,0
Finance,PHL,Male,18 to 24,Manager,51-200 employees,0
Finance,PHL,Male,18 to 24,Manager,11-50 employees,0
Finance,PHL,Male,18 to 24,Manager,2-10 employees,0
Finance,PHL,Male,18 to 24,Manager,Myself Only,0
Finance,PHL,Male,18 to 24,Senior,"10,001+ employees",1600
Finance,PHL,Male,18 to 24,Senior,"5001-10,000 employees",410
Finance,PHL,Male,18 to 24,Senior,1001-5000 employees,550
Finance,PHL,Male,18 to 24,Senior,501-1000 employees,720
Finance,PHL,Male,18 to 24,Senior,201-500 employees,0
Finance,PHL,Male,18 to 24,Senior,51-200 employees,0
Finance,PHL,Male,18 to 24,Senior,11-50 employees,0
Finance,PHL,Male,18 to 24,Senior,2-10 employees,0
Finance,PHL,Male,18 to 24,Senior,Myself Only,0
Finance,PHL,Male,18 to 24,Entry,"10,001+ employees",2000
Finance,PHL,Male,18 to 24,Entry,"5001-10,000 employees",1100
Finance,PHL,Male,18 to 24,Entry,1001-5000 employees,910
Finance,PHL,Male,18 to 24,Entry,501-1000 employees,590
Finance,PHL,Male,18 to 24,Entry,201-500 employees,0
Finance,PHL,Male,18 to 24,Entry,51-200 employees,520
Finance,PHL,Male,18 to 24,Entry,11-50 employees,460
Finance,PHL,Male,18 to 24,Entry,2-10 employees,690
Finance,PHL,Male,18 to 24,Entry,Myself Only,0
Finance,PHL,Male,18 to 24,Training,"10,001+ employees",0
Finance,PHL,Male,18 to 24,Training,"5001-10,000 employees",0
Finance,PHL,Male,18 to 24,Training,1001-5000 employees,0
Finance,PHL,Male,18 to 24,Training,501-1000 employees,0
Finance,PHL,Male,18 to 24,Training,201-500 employees,0
Finance,PHL,Male,18 to 24,Training,51-200 employees,0
Finance,PHL,Male,18 to 24,Training,11-50 employees,0
Finance,PHL,Male,18 to 24,Training,2-10 employees,0
Finance,PHL,Male,18 to 24,Training,Myself Only,0
Finance,PHL,Male,18 to 24,Unpaid,"10,001+ employees",0
Finance,PHL,Male,18 to 24,Unpaid,"5001-10,000 employees",0
Finance,PHL,Male,18 to 24,Unpaid,1001-5000 employees,0
Finance,PHL,Male,18 to 24,Unpaid,501-1000 employees,0
Finance,PHL,Male,18 to 24,Unpaid,201-500 employees,0
Finance,PHL,Male,18 to 24,Unpaid,51-200 employees,0
Finance,PHL,Male,18 to 24,Unpaid,11-50 employees,0
Finance,PHL,Male,18 to 24,Unpaid,2-10 employees,0
Finance,PHL,Male,18 to 24,Unpaid,Myself Only,0
Finance,PHL,Female,55+,Owner,"10,001+ employees",0
Finance,PHL,Female,55+,Owner,"5001-10,000 employees",0
Finance,PHL,Female,55+,Owner,1001-5000 employees,0
Finance,PHL,Female,55+,Owner,501-1000 employees,0
Finance,PHL,Female,55+,Owner,201-500 employees,0
Finance,PHL,Female,55+,Owner,51-200 employees,0
Finance,PHL,Female,55+,Owner,11-50 employees,0
Finance,PHL,Female,55+,Owner,2-10 employees,0
Finance,PHL,Female,55+,Owner,Myself Only,0
Finance,PHL,Female,55+,Partner,"10,001+ employees",0
Finance,PHL,Female,55+,Partner,"5001-10,000 employees",0
Finance,PHL,Female,55+,Partner,1001-5000 employees,0
Finance,PHL,Female,55+,Partner,501-1000 employees,0
Finance,PHL,Female,55+,Partner,201-500 employees,0
Finance,PHL,Female,55+,Partner,51-200 employees,0
Finance,PHL,Female,55+,Partner,11-50 employees,0
Finance,PHL,Female,55+,Partner,2-10 employees,0
Finance,PHL,Female,55+,Partner,Myself Only,0
Finance,PHL,Female,55+,CXO,"10,001+ employees",0
Finance,PHL,Female,55+,CXO,"5001-10,000 employees",0
Finance,PHL,Female,55+,CXO,1001-5000 employees,0
Finance,PHL,Female,55+,CXO,501-1000 employees,0
Finance,PHL,Female,55+,CXO,201-500 employees,0
Finance,PHL,Female,55+,CXO,51-200 employees,0
Finance,PHL,Female,55+,CXO,11-50 employees,0
Finance,PHL,Female,55+,CXO,2-10 employees,0
Finance,PHL,Female,55+,CXO,Myself Only,0
Finance,PHL,Female,55+,VP,"10,001+ employees",0
Finance,PHL,Female,55+,VP,"5001-10,000 employees",0
Finance,PHL,Female,55+,VP,1001-5000 employees,0
Finance,PHL,Female,55+,VP,501-1000 employees,0
Finance,PHL,Female,55+,VP,201-500 employees,0
Finance,PHL,Female,55+,VP,51-200 employees,0
Finance,PHL,Female,55+,VP,11-50 employees,0
Finance,PHL,Female,55+,VP,2-10 employees,0
Finance,PHL,Female,55+,VP,Myself Only,0
Finance,PHL,Female,55+,Director,"10,001+ employees",0
Finance,PHL,Female,55+,Director,"5001-10,000 employees",0
Finance,PHL,Female,55+,Director,1001-5000 employees,0
Finance,PHL,Female,55+,Director,501-1000 employees,0
Finance,PHL,Female,55+,Director,201-500 employees,0
Finance,PHL,Female,55+,Director,51-200 employees,0
Finance,PHL,Female,55+,Director,11-50 employees,0
Finance,PHL,Female,55+,Director,2-10 employees,0
Finance,PHL,Female,55+,Director,Myself Only,0
Finance,PHL,Female,55+,Manager,"10,001+ employees",0
Finance,PHL,Female,55+,Manager,"5001-10,000 employees",0
Finance,PHL,Female,55+,Manager,1001-5000 employees,0
Finance,PHL,Female,55+,Manager,501-1000 employees,0
Finance,PHL,Female,55+,Manager,201-500 employees,0
Finance,PHL,Female,55+,Manager,51-200 employees,0
Finance,PHL,Female,55+,Manager,11-50 employees,0
Finance,PHL,Female,55+,Manager,2-10 employees,0
Finance,PHL,Female,55+,Manager,Myself Only,0
Finance,PHL,Female,55+,Senior,"10,001+ employees",320
Finance,PHL,Female,55+,Senior,"5001-10,000 employees",0
Finance,PHL,Female,55+,Senior,1001-5000 employees,0
Finance,PHL,Female,55+,Senior,501-1000 employees,0
Finance,PHL,Female,55+,Senior,201-500 employees,0
Finance,PHL,Female,55+,Senior,51-200 employees,0
Finance,PHL,Female,55+,Senior,11-50 employees,0
Finance,PHL,Female,55+,Senior,2-10 employees,0
Finance,PHL,Female,55+,Senior,Myself Only,0
Finance,PHL,Female,55+,Entry,"10,001+ employees",0
Finance,PHL,Female,55+,Entry,"5001-10,000 employees",0
Finance,PHL,Female,55+,Entry,1001-5000 employees,0
Finance,PHL,Female,55+,Entry,501-1000 employees,0
Finance,PHL,Female,55+,Entry,201-500 employees,0
Finance,PHL,Female,55+,Entry,51-200 employees,0
Finance,PHL,Female,55+,Entry,11-50 employees,0
Finance,PHL,Female,55+,Entry,2-10 employees,0
Finance,PHL,Female,55+,Entry,Myself Only,0
Finance,PHL,Female,55+,Training,"10,001+ employees",0
Finance,PHL,Female,55+,Training,"5001-10,000 employees",0
Finance,PHL,Female,55+,Training,1001-5000 employees,0
Finance,PHL,Female,55+,Training,501-1000 employees,0
Finance,PHL,Female,55+,Training,201-500 employees,0
Finance,PHL,Female,55+,Training,51-200 employees,0
Finance,PHL,Female,55+,Training,11-50 employees,0
Finance,PHL,Female,55+,Training,2-10 employees,0
Finance,PHL,Female,55+,Training,Myself Only,0
Finance,PHL,Female,55+,Unpaid,"10,001+ employees",0
Finance,PHL,Female,55+,Unpaid,"5001-10,000 employees",0
Finance,PHL,Female,55+,Unpaid,1001-5000 employees,0
Finance,PHL,Female,55+,Unpaid,501-1000 employees,0
Finance,PHL,Female,55+,Unpaid,201-500 employees,0
Finance,PHL,Female,55+,Unpaid,51-200 employees,0
Finance,PHL,Female,55+,Unpaid,11-50 employees,0
Finance,PHL,Female,55+,Unpaid,2-10 employees,0
Finance,PHL,Female,55+,Unpaid,Myself Only,0
Finance,PHL,Female,35 to 54,Owner,"10,001+ employees",0
Finance,PHL,Female,35 to 54,Owner,"5001-10,000 employees",0
Finance,PHL,Female,35 to 54,Owner,1001-5000 employees,0
Finance,PHL,Female,35 to 54,Owner,501-1000 employees,0
Finance,PHL,Female,35 to 54,Owner,201-500 employees,0
Finance,PHL,Female,35 to 54,Owner,51-200 employees,0
Finance,PHL,Female,35 to 54,Owner,11-50 employees,0
Finance,PHL,Female,35 to 54,Owner,2-10 employees,0
Finance,PHL,Female,35 to 54,Owner,Myself Only,0
Finance,PHL,Female,35 to 54,Partner,"10,001+ employees",0
Finance,PHL,Female,35 to 54,Partner,"5001-10,000 employees",0
Finance,PHL,Female,35 to 54,Partner,1001-5000 employees,0
Finance,PHL,Female,35 to 54,Partner,501-1000 employees,0
Finance,PHL,Female,35 to 54,Partner,201-500 employees,0
Finance,PHL,Female,35 to 54,Partner,51-200 employees,0
Finance,PHL,Female,35 to 54,Partner,11-50 employees,0
Finance,PHL,Female,35 to 54,Partner,2-10 employees,0
Finance,PHL,Female,35 to 54,Partner,Myself Only,0
Finance,PHL,Female,35 to 54,CXO,"10,001+ employees",0
