,Country,Sector,Company Size,Seniority,Rank
48,USA,IT,1001-5000 employees,Manager,9.0
49,USA,IT,1001-5000 employees,Director,7.0
50,USA,IT,1001-5000 employees,VP,6.0
51,USA,IT,1001-5000 employees,CXO,5.0
52,USA,IT,1001-5000 employees,Partner,8.0
53,USA,IT,1001-5000 employees,Owner,1.0
54,USA,IT,1001-5000 employees,Any Job Seniority,3.0
55,USA,IT,51-200 employees,Unpaid,11.0
56,USA,IT,51-200 employees,Training,7.0
57,USA,IT,51-200 employees,Entry,1.0
58,USA,IT,51-200 employees,Senior,3.0
59,USA,IT,51-200 employees,Manager,8.0
60,USA,IT,51-200 employees,Director,6.0
61,USA,IT,51-200 employees,VP,9.0
62,USA,IT,51-200 employees,CXO,5.0
63,USA,IT,51-200 employees,Partner,10.0
64,USA,IT,51-200 employees,Owner,4.0
65,USA,IT,51-200 employees,Any Job Seniority,2.0
66,USA,IT,11-50 employees,Unpaid,11.0
67,USA,IT,11-50 employees,Training,10.0
68,USA,IT,11-50 employees,Entry,2.0
69,USA,IT,11-50 employees,Senior,3.0
70,USA,IT,11-50 employees,Manager,7.0
71,USA,IT,11-50 employees,Director,5.0
72,USA,IT,11-50 employees,VP,8.0
73,USA,IT,11-50 employees,CXO,6.0
74,USA,IT,11-50 employees,Partner,9.0
75,USA,IT,11-50 employees,Owner,4.0
76,USA,IT,11-50 employees,Any Job Seniority,1.0
77,USA,IT,2-10 employees,Unpaid,11.0
78,USA,IT,2-10 employees,Training,10.0
79,USA,IT,2-10 employees,Entry,2.0
80,USA,IT,2-10 employees,Senior,3.0
81,USA,IT,2-10 employees,Manager,5.0
82,USA,IT,2-10 employees,Director,6.0
83,USA,IT,2-10 employees,VP,7.0
84,USA,IT,2-10 employees,CXO,8.0
85,USA,IT,2-10 employees,Partner,9.0
86,USA,IT,2-10 employees,Owner,4.0
87,USA,IT,2-10 employees,Any Job Seniority,1.0
88,USA,Finance,2-10 employees,Unpaid,11.0
89,USA,Finance,2-10 employees,Training,8.0
90,USA,Finance,2-10 employees,Entry,2.0
91,USA,Finance,2-10 employees,Senior,3.0
92,USA,Finance,2-10 employees,Manager,4.0
93,USA,Finance,2-10 employees,Director,5.0
94,USA,Finance,2-10 employees,VP,7.0
95,USA,Finance,2-10 employees,CXO,9.0
96,USA,Finance,2-10 employees,Partner,10.0
97,USA,Finance,2-10 employees,Owner,6.0
98,USA,Finance,2-10 employees,Any Job Seniority,1.0
99,GBR,IT,Any Company Size,Unpaid,1.0
100,GBR,IT,Any Company Size,Training,11.0
101,GBR,IT,Any Company Size,Entry,3.0
102,GBR,IT,Any Company Size,Senior,2.0
103,GBR,IT,Any Company Size,Manager,10.0
104,GBR,IT,Any Company Size,Director,8.0
105,GBR,IT,Any Company Size,VP,9.0
106,GBR,IT,Any Company Size,CXO,6.0
107,GBR,IT,Any Company Size,Partner,4.0
108,GBR,IT,Any Company Size,Owner,7.0
109,GBR,IT,Any Company Size,Any Job Seniority,5.0
110,GBR,Finance,Any Company Size,Unpaid,9.0
111,GBR,Finance,Any Company Size,Training,6.0
112,GBR,Finance,Any Company Size,Entry,1.0
113,GBR,Finance,Any Company Size,Senior,2.0
114,GBR,Finance,Any Company Size,Manager,4.0
115,GBR,Finance,Any Company Size,Director,8.0
116,GBR,Finance,Any Company Size,VP,11.0
117,GBR,Finance,Any Company Size,CXO,10.0
118,GBR,Finance,Any Company Size,Partner,7.0
119,GBR,Finance,Any Company Size,Owner,5.0
120,GBR,Finance,Any Company Size,Any Job Seniority,3.0
121,IND,IT,Any Company Size,Unpaid,11.0
122,IND,IT,Any Company Size,Training,5.0
123,IND,IT,Any Company Size,Entry,6.0
124,IND,IT,Any Company Size,Senior,3.0
125,IND,IT,Any Company Size,Manager,10.0
126,IND,IT,Any Company Size,Director,7.0
127,IND,IT,Any Company Size,VP,1.0
128,IND,IT,Any Company Size,CXO,2.0
129,IND,IT,Any Company Size,Partner,8.0
130,IND,IT,Any Company Size,Owner,9.0
131,IND,IT,Any Company Size,Any Job Seniority,4.0
132,IND,Finance,Any Company Size,Unpaid,11.0
133,IND,Finance,Any Company Size,Training,4.0
134,IND,Finance,Any Company Size,Entry,9.0
135,IND,Finance,Any Company Size,Senior,7.0
136,IND,Finance,Any Company Size,Manager,10.0
137,IND,Finance,Any Company Size,Director,8.0
138,IND,Finance,Any Company Size,VP,1.0
139,IND,Finance,Any Company Size,CXO,3.0
140,IND,Finance,Any Company Size,Partner,2.0
141,IND,Finance,Any Company Size,Owner,5.0
142,IND,Finance,Any Company Size,Any Job Seniority,6.0
